title,title_url,ref,summary
"AN 1:21 Ekadhamma Suttas (AN 1:21–30, 39–40) | A Single Thing",https://www.dhammatalks.org/suttas/AN/AN1_21.html,AN 1:21,"AN 1:21 Ekadhamma Suttas (AN 1:21–30, 39–40) | A Single Thing — Short statements on the importance of training one thing: the mind."
AN 1:45 Udakarahada Suttas (AN 1:45–46) | A Pool of Water,https://www.dhammatalks.org/suttas/AN/AN1_45.html,AN 1:45,AN 1:45 Udakarahada Suttas (AN 1:45–46) | A Pool of Water — The sullied and unsullied mind compared to a sullied and unsullied pond of water.
AN 1:48 Mudu Sutta | Soft,https://www.dhammatalks.org/suttas/AN/AN1_48.html,AN 1:48,"AN 1:48 Mudu Sutta | Soft — A trained mind is pliant, like balsam."
AN 1:49 Lahu-parivaṭṭa Sutta | Quick to Reverse Itself,https://www.dhammatalks.org/suttas/AN/AN1_49.html,AN 1:49,"AN 1:49 Lahu-parivaṭṭa Sutta | Quick to Reverse Itself — Even the Buddha, a master of analogies, couldn’t find an analogy for how quick the mind is to reverse itself."
AN 1:50 Pabhassara Suttas (AN 1:50–53) | Luminous,https://www.dhammatalks.org/suttas/AN/AN1_50.html,AN 1:50,AN 1:50 Pabhassara Suttas (AN 1:50–53) | Luminous — Discerning that the mind is luminous but invading by defilements enables you to develop it.
AN 1:140 Bahujanahitāya Sutta (AN 1:140–141) | For the Benefit of Many People,https://www.dhammatalks.org/suttas/AN/AN1_140.html,AN 1:140,"AN 1:140 Bahujanahitāya Sutta (AN 1:140–141) | For the Benefit of Many People — It’s for the benefit of the world that Dhamma is explained as Dhamma, and not-Dhamma as not-Dhamma."
AN 1:329 Duggandha Sutta | Foul-smelling,https://www.dhammatalks.org/suttas/AN/AN1_329.html,AN 1:329,AN 1:329 Duggandha Sutta | Foul-smelling — Becoming compared to feces.
AN 2:5 Appaṭivāṇa Sutta | Relentlessly,https://www.dhammatalks.org/suttas/AN/AN2_5.html,AN 2:5,AN 2:5 Appaṭivāṇa Sutta | Relentlessly — The secret to the Buddha’s awakening: discontent with regard to skillful qualities and unrelenting exertion.
AN 2:9 Lokapāla Sutta | Guardians of the World,https://www.dhammatalks.org/suttas/AN/AN2_9.html,AN 2:9,AN 2:9 Lokapāla Sutta | Guardians of the World — Shame and compunction as guardians of the world.
AN 2:18 Ekaṁsena Sutta | Categorically,https://www.dhammatalks.org/suttas/AN/AN2_18.html,AN 2:18,AN 2:18 Ekaṁsena Sutta | Categorically — One of two teachings that the Buddha taught as categorically true across the board (the other is the four noble truths: see DN 9).
AN 2:19 Kusal’akusala Sutta | Skillful & Unskillful,https://www.dhammatalks.org/suttas/AN/AN2_19.html,AN 2:19,"AN 2:19 Kusal’akusala Sutta | Skillful & Unskillful — “If it were not possible to abandon what is unskillful, I would not say to you, ‘Abandon what is unskillful.’”"
AN 2:21 Bāla-paṇḍita Sutta | Fools & Wise People,https://www.dhammatalks.org/suttas/AN/AN2_21.html,AN 2:21,AN 2:21 Bāla-paṇḍita Sutta | Fools & Wise People — Foolish and wise ways of dealing with your own transgressions and those of others.
AN 2:23 Abhāsita Sutta | What Was Not Said,https://www.dhammatalks.org/suttas/AN/AN2_23.html,AN 2:23,AN 2:23 Abhāsita Sutta | What Was Not Said — To misquote the Buddha is to slander him.
AN 2:24 Neyyattha Sutta | A Meaning to be Inferred,https://www.dhammatalks.org/suttas/AN/AN2_24.html,AN 2:24,AN 2:24 Neyyattha Sutta | A Meaning to be Inferred — Two other ways of slandering the Buddha.
AN 2:29 Vijjā-bhāgiya Sutta | A Share in Clear Knowing,https://www.dhammatalks.org/suttas/AN/AN2_29.html,AN 2:29,"AN 2:29 Vijjā-bhāgiya Sutta | A Share in Clear Knowing — Tranquility and insight, along with the purposes they serve."
AN 2:30 Vimutti Sutta | Release,https://www.dhammatalks.org/suttas/AN/AN2_30.html,AN 2:30,AN 2:30 Vimutti Sutta | Release — What brings about awareness-release and discernment-release.
AN 2:31 Kataññu Suttas (AN 2:31–32) | Gratitude,https://www.dhammatalks.org/suttas/AN/AN2_31.html,AN 2:31,AN 2:31 Kataññu Suttas (AN 2:31–32) | Gratitude — Two people who are not easy to repay: your mother and father.
AN 2:35 Samacitta Sutta | Like-minded,https://www.dhammatalks.org/suttas/AN/AN2_35.html,AN 2:35,AN 2:35 Samacitta Sutta | Like-minded — What it means to be fettered outside and fettered inside.
AN 2:36 Ārāmadaṇḍa Sutta | To Ārāmadaṇḍa,https://www.dhammatalks.org/suttas/AN/AN2_36.html,AN 2:36,AN 2:36 Ārāmadaṇḍa Sutta | To Ārāmadaṇḍa — Why lay people dispute with lay people; why contemplatives dispute with contemplatives.
AN 2:37 Kaṇḍarāyana Sutta | To Kaṇḍarāyana,https://www.dhammatalks.org/suttas/AN/AN2_37.html,AN 2:37,"AN 2:37 Kaṇḍarāyana Sutta | To Kaṇḍarāyana — To be venerable is a matter, not of age, but of the mind’s freedom from sensuality."
AN 2:46 Ukkācita Sutta | Bombast,https://www.dhammatalks.org/suttas/AN/AN2_46.html,AN 2:46,AN 2:46 Ukkācita Sutta | Bombast — The difference between an assembly trained in bombast and one trained in cross-questioning.
