Field1,Field2_text,Field2_links,Field3
AN 6:12  Sārāṇīya Sutta | Conducive to Amiability,AN 6:12,https://www.dhammatalks.org/suttas/AN/AN6_12.html,AN 6:12  Sārāṇīya Sutta | Conducive to Amiability  —  Six conditions that lead to harmony in a group.
AN 6:13  Nissāraṇīya Sutta | Means of Escape,AN 6:13,https://www.dhammatalks.org/suttas/AN/AN6_13.html,"AN 6:13  Nissāraṇīya Sutta | Means of Escape  —  Six means of escape: from ill will, from harmfulness, from resentment, from passion, from mental signs, and from the arrow of perplexity & uncertainty."
AN 6:16  Nakula Sutta | Nakula’s Parents,AN 6:16,https://www.dhammatalks.org/suttas/AN/AN6_16.html,"AN 6:16  Nakula Sutta | Nakula’s Parents  —  Sensing (mistakenly) that her husband is dying, Nakula’s mother wisely advises him not to be worried at the time of death."
AN 6:19  Maraṇassati Sutta | Mindfulness of Death (1),AN 6:19,https://www.dhammatalks.org/suttas/AN/AN6_19.html,AN 6:19  Maraṇassati Sutta | Mindfulness of Death (1)  —  What does it mean to be acute in developing mindfulness of death for the sake of ending the effluents?
AN 6:20  Maraṇassati Sutta | Mindfulness of Death (2),AN 6:20,https://www.dhammatalks.org/suttas/AN/AN6_20.html,AN 6:20  Maraṇassati Sutta | Mindfulness of Death (2)  —  Why it’s wise to reflect every day at sunrise and sunset on the imminent possibility of death.
AN 6:31  Parihāna Sutta | Decline,AN 6:31,https://www.dhammatalks.org/suttas/AN/AN6_31.html,AN 6:31  Parihāna Sutta | Decline  —  Qualities that lead to the decline of a monk in training.
AN 6:37  Dāna Sutta | Giving,AN 6:37,https://www.dhammatalks.org/suttas/AN/AN6_37.html,"AN 6:37  Dāna Sutta | Giving  —  Six factors—three of the donor, and three of the recipients—that enable a donation to lead to an immeasurable mass of merit."
AN 6:41  Dārukkhandha Sutta | The Wood Pile,AN 6:41,https://www.dhammatalks.org/suttas/AN/AN6_41.html,"AN 6:41  Dārukkhandha Sutta | The Wood Pile  —  The properties or potentials in a material object that allow a monk with psychic powers to will that it be nothing but earth, water, fire, wind, beautiful, or unattractive."
AN 6:42  Nāgita Sutta | To Nāgita,AN 6:42,https://www.dhammatalks.org/suttas/AN/AN6_42.html,"AN 6:42  Nāgita Sutta | To Nāgita  —  Another version of the story in 5:30, in which the Buddha delivers a stern rebuke to Ven. Nāgita, explaining why he is not attracted to “this slimy-excrement-pleasure, this torpor-pleasure, this pleasure of gains, offerings, & fame.”"
AN 6:43  Nāga Sutta | On the Nāga,AN 6:43,https://www.dhammatalks.org/suttas/AN/AN6_43.html,"AN 6:43  Nāga Sutta | On the Nāga  —  In the Buddha’s time, the term “nāga” was applied to any large being or tree, such as an elephant, a serpent, or a tree. In this sutta, though, the Buddha defines a nāga as anyone who does no misdeed in body, speech, or mind. Ven. Udāyin, inspired by the Buddha’s statement, composes a spontaneous poem, celebrating the arahant as the true nāga."
AN 6:45  Iṇa Sutta | Debt,AN 6:45,https://www.dhammatalks.org/suttas/AN/AN6_45.html,AN 6:45  Iṇa Sutta | Debt  —  The six miseries of a shameless monk compared to the six miseries of a person in debt.
