Field1,Field2_text,Field2_links,Field3
AN 7:6  Dhana Sutta | Treasure,AN 7:6,https://www.dhammatalks.org/suttas/AN/AN7_6.html,AN 7:6  Dhana Sutta | Treasure  —  The noble treasures defined.
AN 7:7  Ugga Sutta | To Ugga,AN 7:7,https://www.dhammatalks.org/suttas/AN/AN7_7.html,AN 7:7  Ugga Sutta | To Ugga  —  The advantages of the noble treasures over treasures of silver and gold.
AN 7:11  Anusaya Sutta | Obsessions (1),AN 7:11,https://www.dhammatalks.org/suttas/AN/AN7_11.html,AN 7:11  Anusaya Sutta | Obsessions (1)  —  Seven obsessions (anusaya).
AN 7:12  Anusaya Sutta | Obsessions (2),AN 7:12,https://www.dhammatalks.org/suttas/AN/AN7_12.html,"AN 7:12  Anusaya Sutta | Obsessions (2)  —  “With the abandoning & destruction of these seven obsessions, the holy life is fulfilled.”"
AN 7:15  Udakupama Sutta | The Water Simile,AN 7:15,https://www.dhammatalks.org/suttas/AN/AN7_15.html,AN 7:15  Udakupama Sutta | The Water Simile  —  In a series of similes—ranging from a person who sinks down and stays sunk to a person who crosses over a flood and stands on high ground—the Buddha describes people in terms of how far they go with their grasp of the Dhamma.
AN 7:21  Bhikkhu-aparihāniya Sutta | Conditions for No Decline among the Monks,AN 7:21,https://www.dhammatalks.org/suttas/AN/AN7_21.html,AN 7:21  Bhikkhu-aparihāniya Sutta | Conditions for No Decline among the Monks  —  Seven conditions that will prevent the Saṅgha of monks from declining.
AN 7:31  Appamāda Sutta | Heedfulness,AN 7:31,https://www.dhammatalks.org/suttas/AN/AN7_31.html,AN 7:31  Appamāda Sutta | Heedfulness  —  Seven conditions that will keep an individual monk from declining.
AN 7:32  Hirimā Sutta | A Sense of Shame,AN 7:32,https://www.dhammatalks.org/suttas/AN/AN7_32.html,AN 7:32  Hirimā Sutta | A Sense of Shame  —  A slightly different list of seven conditions that will keep an individual monk from declining.
AN 7:33  Sovacassatā Sutta | Compliance (1),AN 7:33,https://www.dhammatalks.org/suttas/AN/AN7_33.html,AN 7:33  Sovacassatā Sutta | Compliance (1)  —  Another list of seven conditions that will keep an individual monk from declining.
AN 7:34  Sovacassatā Sutta | Compliance (2),AN 7:34,https://www.dhammatalks.org/suttas/AN/AN7_34.html,"AN 7:34  Sovacassatā Sutta | Compliance (2)  —  Ven. Sāriputta expands on the list in the preceding sutta, showing that non-decline is not simply a matter of one’s own qualities, but also of encouraging others in the same qualities."
AN 7:35  Mitta Sutta | A Friend,AN 7:35,https://www.dhammatalks.org/suttas/AN/AN7_35.html,AN 7:35  Mitta Sutta | A Friend  —  Seven qualities of a loyal friend truly worth associating with.
AN 7:46  Saññā Sutta | Perceptions,AN 7:46,https://www.dhammatalks.org/suttas/AN/AN7_46.html,AN 7:46  Saññā Sutta | Perceptions  —  Seven perceptions that lead to the deathless.
AN 7:47  Methuna Sutta | Copulation,AN 7:47,https://www.dhammatalks.org/suttas/AN/AN7_47.html,"AN 7:47  Methuna Sutta | Copulation  —  Seven activities that create “a gap, a break, a spot, a blemish of the holy life” even in one who doesn’t engage in sexual intercourse."
AN 7:48  Saññoga Sutta | Bondage,AN 7:48,https://www.dhammatalks.org/suttas/AN/AN7_48.html,AN 7:48  Saññoga Sutta | Bondage  —  How bondage to one’s own masculinity or femininity leads to bondage to others.
AN 7:49  Dāna Sutta | Giving,AN 7:49,https://www.dhammatalks.org/suttas/AN/AN7_49.html,"AN 7:49  Dāna Sutta | Giving  —  The possible motivations for generosity and, in ascending order, the results they can lead to."
