title,ref,title_url,summary,text_full,intro,notes,see_also
Khp 1  Saraṇagamana | Going for Refuge,Khp 1,https://www.dhammatalks.org/suttas/KN/Khp/khp1.html,Khp 1  Saraṇagamana | Going for Refuge  —  The standard passage for taking refuge.,"KN/Khp/1
            I go to the Buddha for refuge.
            I go to the Dhamma for refuge.
            I go to the Saṅgha for refuge.
            A second time I go to the Buddha for refuge.
            A second time I go to the Dhamma for refuge.
            A second time I go to the Saṅgha for refuge.
            A third time I go to the Buddha for refuge.
            A third time I go to the Dhamma for refuge.
            A third time I go to the Saṅgha for refuge.",No Introduction,No Notes,No Additional
Khp 2  Dasa Sikkhāpada | The Ten Training Rules,Khp 2,https://www.dhammatalks.org/suttas/KN/Khp/khp2.html,Khp 2  Dasa Sikkhāpada | The Ten Training Rules  —  The novice’s training rules.,"KN/Khp/2
            
              I undertake the training rule to refrain from taking life.
              I undertake the training rule to refrain from stealing.
              I undertake the training rule to refrain from sexual intercourse.
              I undertake the training rule to refrain from telling lies.
              I undertake the training rule to refrain from intoxicating fermented & distilled beverages that lead to carelessness.
              I undertake the training rule to refrain from eating at the wrong time [after noon & before dawn].
              I undertake the training rule to refrain from dancing, singing, music, & watching shows.
              I undertake the training rule to refrain from wearing garlands and beautifying myself with perfumes & cosmetics.
              I undertake the training rule to refrain from high & luxurious seats & beds.
              I undertake the training rule to refrain from accepting gold & money.",No Introduction,No Notes,No Additional
Khp 3  Dvattiṁsākāra | The 32 Parts,Khp 3,https://www.dhammatalks.org/suttas/KN/Khp/khp3.html,Khp 3  Dvattiṁsākāra | The 32 Parts  —  The list of body parts that is used in contemplating the body to overcome lust or pride.,"KN/Khp/3
            In this body there is:
            
              hair of the head, hair of the body,
              nails, teeth, skin,
              muscle, tendons,
              bones, bone marrow,
              spleen, heart, liver,
              membranes, kidneys, lungs,
              large intestines, small intestines,
              gorge, feces,
              gall, phlegm, lymph, blood,
              sweat, fat, tears, oil,
              saliva, mucus, oil in the joints, urine,
              brain in the skull.1
            
            
              ",No Introduction,"
              1. This item is not usually included in the list of the parts of the body in other parts of the Canon, such as DN 22, MN 10, and MN 119. Its presence here suggests that this passage—and perhaps the whole of Khp—was assembled during the time of the Commentaries, which unlike DN and MN, include the brain in the list.
            
            ",: DN 22; MN 119; SN 54:9; AN 7:48; AN 4:163; AN 9:15; AN 10:60; Dhp 147–150; Sn 1:11; Sn 5:16; Thag 10:5; Thig 13:1; Thig 14
Khp 4  Sāmaṇera Pañhā | The Novice’s Questions,Khp 4,https://www.dhammatalks.org/suttas/KN/Khp/khp4.html,Khp 4  Sāmaṇera Pañhā | The Novice’s Questions  —  A short catechism of basic Buddhist concepts.,"KN/Khp/4
            What is one?
            
              All beings subsist on nutriment. [There are these four nutriments for the establishing of beings who have taken birth or for the support of those in search of a place to be born. Which four? Physical nutriment, gross or refined; contact as the second, intellectual intention the third, and consciousness the fourth.]
            
            What is two?
            
              Name-&-form. [“Feeling, perception, intention, contact, & attention: This is called name. The four great elements, and the form dependent on the four great elements: This is called form. This name & this form are called name-&-form.” {SN 12:2}]
            
            What is three?
            
              The three types of feeling [pleasant, painful, neither pleasant nor painful].
            
            What is four?
            
              The four noble truths [stress, the origination of stress, the cessation of stress, the path of practice leading to the cessation of stress].
            
            What is five?
            
              The five aggregates [form, feeling, perception, fabrications, consciousness].
            
            What is six?
            
              The six internal sense media [eye, ear, nose, tongue, body, intellect].
            
            What is seven?
            
              The seven factors for awakening [mindfulness, analysis of qualities, persistence, rapture, calm, concentration, equanimity].
            
            What is eight?
            
              The noble eightfold path [right view, right resolve, right speech, right action, right livelihood, right effort, right mindfulness, right concentration].
            
            What is nine?
            
              The nine abodes for beings [“Seven stations of consciousness and two dimensions: 
              “There are beings with multiplicity of body and multiplicity of perception, such as human beings, some devas, and some beings in the lower realms. This is the first station of consciousness.  
              “There are beings with multiplicity of body and singularity of perception, such as the devas of the Brahma hosts generated by the first (jhāna). This is the second station of consciousness. 
              “There are beings with singularity of body and multiplicity of perception, such as the Radiant Devas. This is the third station of consciousness.  
              “There are beings with singularity of body and singularity of perception, such as the Beautiful Black Devas. This is the fourth station of consciousness.  
              “There are beings who, with the complete transcending of perceptions of [physical] form, with the disappearance of perceptions of resistance, and not heeding perceptions of multiplicity, [perceiving,] ‘Infinite space,’ arrive at the dimension of the infinitude of space. This is the fifth station of consciousness. 
              “There are beings who, with the complete transcending of the dimension of the infinitude of space, [perceiving,] ‘Infinite consciousness,’ arrive at the dimension of the infinitude of consciousness. This is the sixth station of consciousness.  
              “There are beings who, with the complete transcending of the dimension of the infinitude of consciousness, [perceiving,] ‘There is nothing,’ arrive at the dimension of nothingness.  This is the seventh station of consciousness.
              “The dimension of non-percipient beings and, second, the dimension of neither perception nor non-perception. These are the two dimensions.” {DN 15}]
            
            What is ten?
            
              Endowed with ten qualities, one is called an arahant. [“The right view of one beyond training, the right resolve of one beyond training, the right speech of one beyond training, the right action of one beyond training, the right livelihood of one beyond training, the right effort of one beyond training, the right mindfulness of one beyond training, the right concentration of one beyond training, the right knowledge of one beyond training, the right release of one beyond training.” {MN 117}]1
            
            
              ",No Introduction,"
              1. The Novice’s Questions is one of only two passages in Khp that do not also appear in an identical form elsewhere in the Canon. (The other is passage 8, The Reserve Fund.) However, it is similar to the series of questions presented in AN 10:27–28. For a discussion of the differences among these passages, see Skill in Questions, appendix 2.",No Additional
Khp 5  Maṅgala Sutta | Protection,Khp 5,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html,Khp 5  Maṅgala Sutta | Protection  —  A list of the types of skillful behavior that give blessings and protection.,"KN/Khp/5
            I have heard that at one time the Blessed One was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery. Then a certain deva, in the far extreme of the night, her extreme radiance lighting up the entirety of Jeta’s Grove, went to the Blessed One. On arrival, having bowed down to him, she stood to one side. As she was standing there, she addressed him with a verse.
            
            “Many devas & human beings
            give thought to protection,
            desiring well-being.
            Tell, then, the highest protection.”
            
              The Buddha:
              “Not consorting with fools,
              consorting with the wise,
              paying homage to those worthy of homage:
              This is the highest protection.
            
            
              Living in a civilized land,
              having made merit in the past,
              directing oneself rightly:1
              This is the highest protection.
            
            
              Broad knowledge, skill,
              well-mastered discipline,
              well-spoken words:
              This is the highest protection.
            
            
              Support for one’s mother & father,2
              assistance to one’s wife and children,
              consistency in one’s work:
              This is the highest protection.
            
            
              Generosity, living in rectitude,
              assistance to one’s relatives,
              deeds that are blameless:
              This is the highest protection.
            
            
              Avoiding, abstaining from evil;
              refraining from intoxicants,
              being heedful of the mental qualities
              This is the highest protection.
            
            
              Respect, humility,
              contentment, gratitude,
              hearing the Dhamma on timely occasions:
              This is the highest protection.
            
            
              Patience, composure,
              seeing contemplatives,
              discussing the Dhamma on timely occasions:
              This is the highest protection.
            
            
              Austerity, celibacy,
              seeing the noble truths,
              realizing unbinding:
              This is the highest protection.
            
            
              A mind that, when touched
              by the ways of the world,3
              is unshaken, sorrowless, dustless, at rest:
              This is the highest protection.
            
            
              When acting in this way,
              everywhere undefeated,
              people go everywhere in well-being:
              This is their highest protection.”
            
            
            
              ",No Introduction,"s
              1. These are three of the four “wheels” leading to wealth and prosperity. See AN 4:31. 
              2. See AN 2:31–32.
              3. Ways of the world (lokadhamma): gain, loss, status, loss of status, praise, criticism, pleasure, pain. See AN 8:6 and AN 4:192.
            
            ",: SN 3:5; AN 3:110; AN 4:128; AN 10:17
Khp 6  Ratana Sutta | Treasures,Khp 6,https://www.dhammatalks.org/suttas/KN/Khp/khp6.html,Khp 6  Ratana Sutta | Treasures  —  The many treasures to be found in the Triple Gem.,"KN/Khp/6
            
            Whatever spirits have gathered here,
            —on the earth, in the sky—
            may you all be happy
            & listen intently to what I say.
            
              Thus, spirits, you should all be attentive.
              Show goodwill to the human race.
              Day & night they bring offerings,
              so, being heedful, protect them.
            
            
              Whatever wealth—here or beyond—
              whatever exquisite treasure in the heavens,
              does not, for us, equal the Tathāgata.
              This, too, is an exquisite treasure in the Buddha.
              By this truth may there be well-being.
            
            
              The exquisite deathless—ending, dispassion—
              discovered by the Sakyan Sage in concentration:
              There is nothing to equal that Dhamma.
              This, too, is an exquisite treasure in the Dhamma.
              By this truth may there be well-being.
            
            
              What the excellent Awakened One extolled as pure
              and called the concentration
              of unmediated knowing:1
              No equal to that concentration can be found.
              This, too, is an exquisite treasure in the Dhamma.
              By this truth may there be well-being.
            
            
              The eight persons—the four pairs—
              praised by those at peace:
              They, disciples of the One Well-Gone, deserve offerings.
              What is given to them bears great fruit.
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              Those who, devoted, firm-minded,
              apply themselves to Gotama’s message,
              on attaining their goal, plunge into the deathless,
              freely enjoying the liberation they’ve gained.
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              An Indra pillar,2 planted in the earth,
              that even the four winds cannot shake:
              That, I tell you, is like the person of integrity,
              who—having comprehended
              the noble truths—sees.
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              Those who have seen clearly the noble truths
              well-taught by the one deeply discerning—
              regardless of what [later] might make them heedless—
              will come to no eighth state of becoming.3
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              At the moment of attaining sight,
              one abandons three things:
              identity-views, uncertainty,
              & any attachment to habits & practices.4
              One is completely released
              from the four states of deprivation,5
              and incapable of committing
              the six great wrongs.6
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              Whatever bad deed one may do
              —in body, speech, or in mind—
              one cannot hide it:
              an incapability ascribed
              to one who has seen the Way.
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              Like a forest grove with flowering tops
              in the first month of the heat of the summer,
              so is the foremost Dhamma he taught,
              for the highest benefit, leading to unbinding.
              This, too, is an exquisite treasure in the Buddha.
              By this truth may there be well-being.
            
            
              Foremost,
              foremost-knowing,
              foremost-giving,
              foremost-bringing,
              unsurpassed, he taught the
              foremost Dhamma.
              This, too, is an exquisite treasure in the Buddha.
              By this truth may there be well-being.
            
            
              Ended the old, there is no new taking birth.
              Dispassioned their minds toward future becoming,
              they,
              with no seed,
              no desire for growth,
              the enlightened,    go out like this flame.7
              This, too, is an exquisite treasure in the Saṅgha.
              By this truth may there be well-being.
            
            
              Whatever spirits have gathered here,
              —on the earth, in the sky—
              let us pay homage to the Buddha,
              the Tathāgata worshipped by beings
              human & divine.
              May there be
              well-being.
            
            
              Whatever spirits have gathered here,
              —on the earth, in the sky—
              let us pay homage to the Dhamma
              the Tathāgata worshipped by beings
              human & divine.
              May there be
              well-being.
            
            
              Whatever spirits have gathered here,
              —on the earth, in the sky—
              let us pay homage to the Saṅgha
              & the Tathāgata worshipped by devas
              & human beings.
              May there be
              well-being.
            
            
            
              ",No Introduction,"s
              1. This is apparently equivalent to the liberation of immediacy, mentioned in Thig 5:8, and the concentration that is the fruit of gnosis, mentioned in AN 9:37.
              2. Indra-pillar: A tall hardwood pillar, planted at the entrance to a village.
              3. The person who has reached this stage in the practice will be reborn at most seven more times. See AN 3:88. On the danger of heedlessness for one who has reached this level of awakening, see SN 55:40.
              4. These three qualities are the fetters abandoned when one gains one’s first glimpse of unbinding at stream-entry (the moment when one enters the stream to full awakening).
              5. Four states of deprivation: rebirth as an animal, a hungry ghost, an angry demon, or a denizen of hell. In the Buddhist cosmology, none of these states is eternal.
              6. According to SnA, the six great wrongs are: murdering one’s mother, murdering one’s father, murdering an arahant (fully awakened individual), wounding a Buddha, causing a schism in the Saṅgha, or choosing anyone other than a Buddha as one’s foremost teacher. The first five are listed in AN 5:129 as leading immediately to hell after death.
              7. See Thig 5:10.
            
            ",: AN 4:67
Khp 7  Tirokuḍḍa Kaṇḍa | (Hungry Ghosts) Outside the Walls,Khp 7,https://www.dhammatalks.org/suttas/KN/Khp/khp7.html,"Khp 7  Tirokuḍḍa Kaṇḍa | (Hungry Ghosts) Outside the Walls  —  The conditions under which hungry ghosts live, and a blessing for dedicating merit to them.","KN/Khp/7
            This passage is identical with Pv 1:5.
            
            Outside the walls they stand,
            & at crossroads.
            At doorposts they stand,
            returning to their old homes.
            But when a meal with plentiful food & drink is served,
            no one remembers them:
            Such is the kamma of living beings.
            
              So those who feel sympathy for their dead relatives
              give timely donations of proper food & drink
              —exquisite, clean—
              [thinking:]
              “May this be for our relatives.
              May our relatives be happy!”
            
            
              And those who have gathered there,
              the assembled shades of the relatives,
              with appreciation, give their blessing
              for the plentiful food & drink:
              “May our relatives live long
              because of whom we have gained [this gift].
              We have been honored,
              and the donors are not without reward!”
            
            
              For there [in their realm] there’s
              no farming,
              no herding of cattle,
              no commerce,
              no trading with money.
              They live on what is given here,
              hungry ghosts
              whose time here is done.
            
            
              As water raining on a hill
              flows down to the valley,
              even so does what is given here
              benefit the dead.1
              As rivers full of water
              fill the ocean full,
              even so does what is given here
              benefit the dead.
            
            
              “He gave to me, she acted on my behalf,
              they were my relatives, companions, friends”:
              Offerings should be given for the dead
              when one reflects thus
              on things done in the past.
              For
              no weeping,
              no sorrowing
              no other lamentation
              benefits the dead
              whose relatives persist in that way.
              But when this offering is given,
              well-placed in the Saṅgha,
              it works for their long-term benefit
              and they profit immediately.
            
            
              In this way
              the proper duty to relatives has been shown,
              great honor has been done to the dead,
              and monks have been given strength:
            
            
              The merit you’ve acquired
              isn’t small.2
            
            
            
              ",No Introduction,"s
              1. In modern Theravāda merit-making ceremonies, this sentence is the first to be chanted when monks rejoice in the merit of the donors.
              2. This passage—beginning with “He gave to me…”—is often chanted when donors are dedicating merit to the recently deceased.
            
            ",: MN 82; AN 10:166
Khp 8  Nidhi Kaṇḍa | The Reserve Fund,Khp 8,https://www.dhammatalks.org/suttas/KN/Khp/khp8.html,Khp 8  Nidhi Kaṇḍa | The Reserve Fund  —  Where is the safest and most productive place to stash your wealth?,"KN/Khp/8
            
            A person stashes a fund away
            deep underground, at the water line:
            “When a need or duty arises,
            this will provide for my needs,
            for my release if I’m denounced by the king,
            molested by thieves,
            in case of debt, famine, or accidents.”
            With aims like this
            in the world
            a reserve fund is stashed away.
            
              But no matter how well it’s stored,
              deep underground, at the water line,
              it won’t all always serve one’s need.
              The fund gets shifted from its place,
              or one’s memory gets confused;
              or—unseen—
              nāgas make off with it,
              spirits steal it,
              or hateful heirs run off with it.
              When one’s merit’s ended,
              it’s totally destroyed.
            
            
              But when a man or woman
              has laid aside a well-stored fund
              of generosity, virtue,
              restraint, & self-control,
              with regard to a shrine,
              the Saṅgha,
              a fine individual,
              guests,
              mother, father,
              or elder sibling:
              That’s a well-stored fund.
              It can’t be wrested away.
              It follows you along.
              When, having left this world,
              for wherever you must go,
              you take it with you.
              This fund is not held in common with others,
              & cannot be stolen by thieves.
            
            
              So, enlightened, you should make merit,
              the fund that will follow you along.
              This is the fund
              that gives all they want
              to beings human, divine.
            
            
              Whatever devas aspire to,
              that is all gained by this.
              A fine complexion, fine voice,
              a body well-built, well-formed,
              lordship, a following:
              That is all gained by this.
              Earthly kingship, supremacy,
              the bliss of an emperor,
              kingship over devas in the heavens:
              That is all gained by this.
              The attainment of the human state,
              any delight in heaven,
              the attainment of unbinding:
              That is all gained by this.
              Excellent friends,
              appropriate application,1
              mastery of clear knowing & release2:
              That is all gained by this.
              Acumen,3 emancipations,4
              the perfection of disciplehood:
              That is all gained by this.
              Private awakening,5
              Buddhahood:
              That is all gained by this.
            
            
              So powerful this,
              the accomplishment of merit.
              Thus the wise, the enlightened,
              praise the fund of merit
              already made.
            
            
            
              ",No Introduction,"s
              1. Proper practice of the Dhamma.
              2. Clear knowing (vijjā) = knowledge of previous lives, knowledge of the passing away and arising (rebirth) of beings, knowledge of the ending of the [mental] effluents: sensual passion, becoming, and ignorance.  Release (vimutti) = release from the cycle of rebirth.
              3. Acumen (paṭisambhidā) = acumen with regard to the Dhamma, to its meaning, to language, & to quick-wittedness. These four talents are found in some, but not all, arahants.
              4. Vimokkha. DN 15 describes the eight emancipations as follows:
              
                “Possessed of form, one sees forms. This is the first emancipation.
                “Not percipient of form internally, one sees forms externally. This is the second emancipation.
                “One is intent only on the beautiful. This is the third emancipation.
                “With the complete transcending of perceptions of [physical] form, with the disappearance of perceptions of resistance, and not heeding perceptions of multiplicity, [perceiving,] ‘Infinite space,’ one enters and remains in the dimension of the infinitude of space. This is the fourth emancipation.
                “With the complete transcending of the dimension of the infinitude of space, [perceiving,] ‘Infinite consciousness,’ one enters and remains in the dimension of the infinitude of consciousness. This is the fifth emancipation.
                “With the complete transcending of the dimension of the infinitude of consciousness, [perceiving,] ‘There is nothing,’ one enters and remains in the dimension of nothingness. This is the sixth emancipation.
                “With the complete transcending of the dimension of nothingness, one enters and remains in the dimension of neither perception nor non-perception. This is the seventh emancipation.
                “With the complete transcending of the dimension of neither perception nor non-perception, one enters and remains in the cessation of perception & feeling. This is the eighth emancipation.
                “Now, when a monk attains these eight emancipations in forward order, in reverse order, in forward and reverse order, when he attains them and emerges from them wherever he wants, however he wants, and for as long as he wants, when through the ending of the [mental] effluents he enters & remains in the effluent-free awareness-release & discernment-release, directly knowing & realizing them for himself right in the here-&-now, he is said to be a monk released in both ways. And as for another release in both ways, higher or more sublime than this, there is none.”
              
              5. Private Awakening: Awakening as a Private Buddha, one who can gain Awakening without relying on the teachings of others, but who cannot formulate the Dhamma in the way a Full Buddha can.
            
            ",: SN 1:41; SN 3:19–20; SN 3:25; SN 10:12; SN 47:19; AN 3:52–53; AN 7:6–7; Iti 22
Khp 9  Karaṇīya Mettā Sutta | Goodwill,Khp 9,https://www.dhammatalks.org/suttas/KN/Khp/khp9.html,"Khp 9  Karaṇīya Mettā Sutta | Goodwill  —  The practice of developing universal goodwill: the practices that form a foundation for the practice, the attitude of universal goodwill itself, and the steps that lead from goodwill to awakening.","KN/Khp/9
            
            This is to be done by one skilled in aims
            appreciating the state of peace:
            Be capable, upright, & straightforward,
            easy to instruct, gentle, & not conceited,
            content & easy to support,
            with few duties, living lightly,
            with peaceful faculties, astute,
            modest, & no greed for supporters.
            
              Do not do the slightest thing
              that the observant would later censure.
            
            
              Think: Happy, at rest,
              may all beings be happy at heart.
              Whatever beings there may be—
              weak or strong, without exception,
              long, large,
              middling, short,
              subtle, gross,
              seen & unseen,
              living near & far away,
              born or seeking birth:
              May all beings be happy at heart.
            
            
              Let no one deceive another
              or despise anyone anywhere,
              or through anger or resistance-perception
              wish for another to suffer.
            
            
              As a mother would risk her life
              to protect her child, her only child,
              even so should one cultivate the heart limitlessly
              with regard to all beings.1
              With goodwill for the entire cosmos,
              cultivate the heart limitlessly:
              above, below, & all around,
              unobstructed, without hostility or hate.
            
            
              Whether standing, walking,
              sitting, or lying down,
              as long as one has banished torpor,
              one should be resolved on this mindfulness.2
              This is called a Brahmā abiding
              here.
            
            
              Not taken with views,
              but virtuous & consummate in vision,
              having subdued greed for sensuality,
              one never again
              will lie in the womb.
            
            
            
              ",No Introduction,"s
              1. The image here is sometimes misconstrued as saying that one should protect all beings as a mother would protect her only child. Actually, the parallel is not between the child and all living beings; it is between the child and one’s cultivation of the heart: One should protect one’s goodwill toward all beings in the same way that a mother would protect her only child. On this point, see MN 21.
              2. This line has to be read in line with the Buddha’s definition of mindfulness as the ability to keep something in mind. See SN 48:10.
            
            ",: MN 52; MN 97; MN 135; SN 42:8; SN 46:54; SN 55:7; AN 3:66; AN 4:67; AN 4:96; AN 4:125–126; AN 4:178; AN 4:200; AN 5:20; AN 5:27; AN 6:12–13; AN 8:70; AN 10:176; AN 10:196; AN 11:16; Ud 5:1; Iti 22; Iti 27
Dhp Ch.   1   Pairs,Dhp 1,https://www.dhammatalks.org/suttas/KN/Dhp/Ch01.html,No Summary,"KN/Dhp/1
              
                Phenomena are
                preceded by the heart,
                ruled by the heart,
                made of the heart.
                If you speak or act
                with a corrupted heart,
                then suffering follows you –
                as the wheel of the cart,
                the track of the ox
                that pulls it.
              
              
                Phenomena are
                preceded by the heart,
                ruled by the heart,
                made of the heart.
                If you speak or act
                with a calm, bright heart,
                then happiness follows you,
                like a shadow
                that never leaves.
              
              1-2*
              
                ‘He       insulted me,
                hit me,
                beat me,
                robbed me’
                –for those who brood on this,
                hostility isn’t stilled.
              
              
                ‘He insulted me,
                hit me,
                beat me,
                robbed me’–
                for those who don’t brood on this,
                hostility is stilled.
              
              
                Hostilities aren’t stilled
                through hostility,
                regardless.
                Hostilities are stilled
                through non-hostility:
                this, an unending truth.
              
              
                Unlike those who don’t realize
                that we’re here on the verge
                of perishing,
                those who do:
                their quarrels are stilled.
              
              3-6
              
                One who stays focused on the beautiful,
                is unrestrained with the senses,
                knowing no moderation in food,
                apathetic, unenergetic:
                Mara overcomes him
                as the wind, a weak tree.
              
              
                One who stays focused on the foul,
                is restrained with regard to the senses,
                knowing moderation in food,
                full of conviction & energy:
                Mara does not overcome him
                as the wind, a mountain of rock.
              
              7-8*
              
                He who,
                depraved,
                devoid
                of truthfulness
                & self-control,
                puts on the ochre robe,
                doesn’t deserve the ochre robe.
              
              
                But he who is free
                of depravity
                endowed
                with truthfulness
                & self-control,
                well-established
                in the precepts,
                truly deserves the ochre robe.
              
              9-10
              
                Those who regard
                non-essence as essence
                and see essence as non-,
                don’t get to the essence,
                ranging about in wrong resolves.
              
              
                But those who know
                essence as essence,
                and non-essence as non-,
                get to the essence,
                ranging about in right resolves.
              
              11-12*
              
                As rain seeps into
                an ill-thatched hut,
                so passion,
                the undeveloped mind.
              
              
                As rain doesn’t seep into
                a well-thatched hut,
                so passion does not,
                the well-developed mind.
              
              13-14
              
                Here
                he grieves
                he grieves
                hereafter.
                In both worlds
                the wrong-doer grieves.
                He grieves, he’s afflicted,
                seeing the corruption
                of his deeds.
              
              
                Here
                he rejoices
                he rejoices
                hereafter.
                In both worlds
                the merit-maker rejoices.
                He rejoices, is jubilant,
                seeing the purity
                of his deeds.
              
              
                Here
                he’s tormented
                he’s tormented
                hereafter.
                In both worlds
                the wrong-doer’s tormented.
                He’s tormented at the thought,
                ‘I’ve done wrong.’
                Having gone to a bad destination,
                he’s tormented
                all the more.
              
              
                Here
                he delights
                he delights
                hereafter.
                In both worlds
                the merit-maker delights.
                He delights at the thought,
                ‘I’ve made merit.’
                Having gone to a good destination,
                he delights
                all the more.
              
              15-18*
              
                If he recites many teachings, but
                –heedless man–
                doesn’t do what they say,
                like a cowherd counting the cattle of
                others,
                he has no share in the contemplative life.
              
              
                If he recites next to nothing
                but follows the Dhamma
                in line with the Dhamma;
                abandoning passion,
                aversion, delusion;
                alert,
                his mind well released,
                not clinging
                either here or hereafter:
                he has his share in the contemplative life.
              
              19-20
            ",No Introduction,No Notes,No Additional
