title,ref,title_url,summary,text_full,intro,notes,see_also
Thig 1:1  An Anonymous Nun,Thig 1:1,https://www.dhammatalks.org/suttas/KN/Thig/thig1_1.html,"Thig 1:1  An Anonymous Nun  —  Passion stilled, like a pot of pickled greens boiled dry.","KN/Thig/1:1
          
            Sleep, little therī, sleep comfortably,
            wrapped in the robe you’ve made,
            for your passion is stilled—
            like a pot of pickled greens
            boiled dry.",No Introduction,No Notes,No Additional
Thig 1:3  Puṇṇā,Thig 1:3,https://www.dhammatalks.org/suttas/KN/Thig/thig1_3.html,Thig 1:3  Puṇṇā  —  Grow full (puṇṇā) with good qualities like the full moon.,"KN/Thig/1:3
          
            Puṇṇā, grow full with good qualities
            like the moon on the fifteenth day.
            With discernment at total fullness, burst
            the mass
            of darkness.",No Introduction,No Notes,No Additional
Thig 1:11  Muttā,Thig 1:11,https://www.dhammatalks.org/suttas/KN/Thig/thig1_11.html,Thig 1:11  Muttā  —  From three crooked things set free.,"KN/Thig/1:11
          
            So freed! So thoroughly freed am I!—
            from three crooked things set free:
            from mortar, pestle,
            & crooked old husband.
            Having uprooted the craving
            that leads to becoming,
            I’m from aging & death set free.",No Introduction,No Notes,: Thag 1:43; Thag 2:9
Thig 1:17  Dhammā,Thig 1:17,https://www.dhammatalks.org/suttas/KN/Thig/thig1_17.html,Thig 1:17  Dhammā  —  Set free after falling  down on the ground.,"KN/Thig/1:17
          
            Wandering for alms—
            weak, leaning on a staff,1
            with trembling limbs—
            I fell down right there on the ground.
            
              Seeing the drawbacks of the body,
              my mind was then
              set free.",No Introduction,"1. Reading daṇḍamolubbha with the Burmese, Sinhalese, and PTS editions. The Thai edition has daṇḍamādāya, “holding a staff.”",No Additional
Thig 2:3  Sumaṅgala’s Mother,Thig 2:3,https://www.dhammatalks.org/suttas/KN/Thig/thig2_3.html,"Thig 2:3  Sumaṅgala’s Mother  —  From three crooked things set free, I do jhāna.","KN/Thig/2:3
          
            So freed! So freed!
            So thoroughly freed am I—
            from my pestle,
            my shameless husband
            & his sun-shade making,
            my moldy old pot
            with its water-snake smell.
            Aversion & passion
            I cut with a chop.
            Having come to the foot of a tree,
            I do jhāna, from the bliss thinking:
            “What bliss!”",No Introduction,No Notes,: Thag 1:43
Thig 2:4  Aḍḍhkāsī,Thig 2:4,https://www.dhammatalks.org/suttas/KN/Thig/thig2_4.html,Thig 2:4  Aḍḍhkāsī  —  A high-priced courtesan becomes disgusted with her body.,"KN/Thig/2:4
          
            All of the Kāsi countryside:
            My fee was equal to that.
            Having made that my price,
            the town1 set me as priceless in price.
            But then I became disenchanted with my body,
            and—disenchanted—dispassionate:
            “May I not run again & again
            through birth & the wandering-on.”
            The three knowledges
            have been realized.
            The Buddha’s bidding
            done.",No Introduction,"1. Reading nigamo with the Thai edition. The Burmese and Sinhalese editions read negamo, “the townspeople.”",: AN 7:48
Thig 3:2  Uttamā,Thig 3:2,https://www.dhammatalks.org/suttas/KN/Thig/thig3_2.html,"Thig 3:2  Uttamā  —  After running amok, a nun learns the Dhamma and gains awakening.","KN/Thig/3:2
          
            Four times, five, I ran amok from my dwelling,
            having gained no peace of awareness,
            my thoughts out of control.
            So I went to a trustworthy nun.
            She taught me the Dhamma:
            aggregates, sense media, properties.1
            Hearing the Dhamma,
            I did as she said.
            For seven days I sat in one spot,
            absorbed in rapture & bliss.
            On the eighth, I stretched out my legs,
            having burst the mass
            of darkness.",No Introduction,"1. On the aggregates (khandha), see SN 22:59 and SN 22:79; on the sense media (āyatana), SN 35:28; on the properties (dhātu), MN 140. On the relationships among these frameworks for analyzing experience, see MN 28.",No Additional
Thig 3:4  Dantikā & the Elephant,Thig 3:4,https://www.dhammatalks.org/suttas/KN/Thig/thig3_4.html,"Thig 3:4  Dantikā & the Elephant  —  Seeing an untamed elephant made tame (danta), a nun centers her mind.","KN/Thig/3:4
          
            Coming out from my day’s abiding
            on Vulture Peak Mountain,
            I saw on the bank of the river
            an elephant
            emerged from its plunge.
            
              A man holding a hook requested:
              “Give me your foot.”
              The elephant
              extended its foot.
              The man
              got up on the elephant.
            
            
              Seeing what was untrained now tamed
              brought under human control,
              with that I centered my mind—
              why I’d gone to the woods
              in the first place.",No Introduction,No Notes,No Additional
Thig 3:5  Ubbiri,Thig 3:5,https://www.dhammatalks.org/suttas/KN/Thig/thig3_5.html,Thig 3:5  Ubbiri  —  A nun recalls the Buddha’s words that freed her from grief over her dead daughter.,"KN/Thig/3:5
          
            [Ubbiri recalls the Buddha’s words:]
            “‘Jīva, my daughter,’
            you cry in the woods.
            Come to your senses, Ubbiri.
            84,000
            all named Jīva
            have been burned in that charnel ground.
            For which of them do you grieve?”
            
              Pulling out
              —completely out—
              the arrow so hard to see,
              embedded in my heart,
              he expelled from me
              —overcome with grief—
              the grief
              over my daughter.
            
            
              Today—with arrow removed,
              without hunger, entirely
              unbound—
              to the Buddha, Dhamma, & Saṅgha I go,
              for refuge to
              the Sage.",No Introduction,No Notes,: SN 47:13; AN 5:49; Ud 5:1; Ud 8:8; Sn 3:8; Thig 6:1
"Thig 5:2  Vimalā, the Former Courtesan",Thig 5:2,https://www.dhammatalks.org/suttas/KN/Thig/thig5_2.html,"Thig 5:2  Vimalā, the Former Courtesan  —  Once adorned as a courtesan, now wrapped in a double cloak, a nun cuts through all ties, human and divine.","KN/Thig/5:2
          
            Intoxicated with my complexion
            figure, beauty, & fame;
            haughty with youth,
            I despised other women.
            Adorning this body
            embellished to delude foolish men,
            I stood at the door to the brothel:
            a hunter with snare laid out.
            I showed off my ornaments,
            and revealed many a private part.
            I worked my manifold magic,
            laughing out loud at the crowd.
            
              Today, wrapped in a double cloak,
              my head shaven,
              having wandered for alms,
              I sit at the foot of a tree
              and attain the state of no-thought.
              All ties—human & divine—have been cut.
              Having cast off all
              effluents,
              cooled am I.       Unbound.",No Introduction,No Notes,: AN 7:48; Thag 6:9
