title,ref,title_url,summary,text_full,intro,notes,see_also
Sn 1:1  The Snake,Sn 1:1,https://www.dhammatalks.org/suttas/KN/StNp/StNp1_1.html,"Sn 1:1  The Snake  —  One who advances far along the path sloughs off the near shore and far, like a snake who sloughs off its skin.","KN/Sn/1:1
           
              The monk who subdues his arisen anger
              as, with herbs, snake-venom once it has spread,
              sloughs off the near shore & far—
              as a snake, its decrepit old skin.
              
                The monk who has cut off passion
                without leaving a trace,
                as he would, plunging into a lake, a lotus,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who has cut off craving
                without leaving a trace,
                drying up the swift-flowing flood,1
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who has uprooted conceit
                without leaving a trace,
                as a great flood, a very weak bridge made of reeds,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk seeing
                in states of becoming
                no essence,
                as he would,
                when examining fig trees,
                no flowers,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk with no inner anger,
                who has thus gone beyond
                becoming & not-,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk whose discursive thoughts are dispersed,
                well-dealt with inside
                without leaving a trace,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who hasn’t slipped past or held back,2
                transcending all
                this objectification,3
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who hasn’t slipped past or held back,
                knowing with regard to the world
                that “All this is unreal,”
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who hasn’t slipped past or held back,
                without greed, as “All this is unreal,”
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who hasn’t slipped past or held back,
                without aversion, as “All this is unreal,”
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who hasn’t slipped past or turned back,
                without delusion, as “All this is unreal,”
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk in whom
                there are no obsessions4
                —the roots of unskillfulness totally destroyed—
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk in whom
                there’s nothing born of disturbance5
                that would lead him back to this shore,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk in whom
                there’s nothing born of the underbrush6
                that would act as a cause
                for binding him to becoming,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
              
                The monk who’s abandoned five hindrances,
                who, untroubled, de-arrowed,7
                has crossed over doubt,
                sloughs off the near shore & far—
                as a snake, its decrepit old skin.
              
            
            vv. 1–17","            Alternative versions of this poem—a Sanskrit version included in the Udānavarga, and a Gāndhārī version included in the Gāndhārī Dharmapada—have many of the same verses included here, but arranged in a different order. This suggests that the verses originally may have been separate poems, spoken on separate occasions, and that they were gathered together because they share the same refrain.
","s
              1. On craving as a flooding river, see Dhp 251, 337, 339–340, and 347.
              2. See Iti 49.
              3. On objectification, see Sn 4:11, note 4, and the introduction to MN 18.
              4. The seven obsessions, listed in AN 7:11, are: sensual passion, resistance, views, uncertainty, conceit, passion for becoming, and ignorance. The relationship of three of these obsessions—the first two and the last—to the three types of feeling is discussed in MN 44. 
              5. Daratha. For a detailed description of the subtleties of disturbance, see MN 121.
              6. Underbrush stands for desire. See Dhp 344.
              7. The arrow can stand for becoming, craving, or grief. See SN 36:6, Sn 3:8, Sn 4:15, Dhp 351, Thag 6:13, Thig 3:5, and Thig 6:1.",No Additional
Sn 1:2  Dhaniya the Cattleman,Sn 1:2,https://www.dhammatalks.org/suttas/KN/StNp/StNp1_2.html,"Sn 1:2  Dhaniya the Cattleman  —  A poetic dialogue contrasting the wealth and security of lay life with the wealth and security of a person who has lived the renunciate life to its culmination. If you have trouble relating to someone like Dhaniya who measures his wealth in cattle, then when reading this poem substitute stocks and bonds for cows and bulls, and economic downturn for rain.","KN/Sn/1:2
            
              Dhaniya the cattleman:1
              “The rice is cooked,
              my milking done.
              I live with my people
              along the banks of the Mahi;
              my hut is roofed, my fire lit:
              So if you want, rain-god,
              go ahead & rain.”
              
                

                  The Buddha:
                  “Free from anger,
                  my rigidity gone,2
                  I live for one night
                  along the banks of the Mahi;
                  my hut’s roof is open, my fire out.3
                  So if you want, rain-god,
                  go ahead & rain.”
                
              
              
                Dhaniya:
                “No mosquitoes or gadflies
                are to be found.
                The cows range in the marshy meadow
                where the grasses flourish.
                They could stand the rain if it came:
                So if you want, rain-god,
                go ahead & rain.”
              
              
                
                  The Buddha:
                  “A raft, well-made,
                  has been lashed together.4
                  Having crossed over,
                  gone to the far shore,
                  I’ve subdued the flood.
                  No need for a raft
                  is to be found5:
                  So if you want, rain-god,
                  go ahead & rain.”
                
              
              
                Dhaniya:
                “My wife is composed, not wanton,
                is charming, has lived with me long.
                I hear no evil about her at all:
                So if you want, rain-god,
                go ahead & rain.”
              
              
                
                  The Buddha:
                  “My mind is composed, released,
                  has long been nurtured, well tamed.
                  No evil is to be found in me:
                  So if you want, rain-god,
                  go ahead & rain.”
                
              
              
                Dhaniya:
                “I support myself on my earnings.
                My sons live in harmony,
                free from disease.
                I hear no evil about them at all:
                So if you want, rain-god,
                go ahead & rain.”
              
              
                
                  The Buddha:
                  “I’m in no one’s employ,6
                  I wander the whole world
                  on the reward [of my Awakening].
                  No need for earnings
                  is to be found:
                  So if you want, rain-god,
                  go ahead & rain.”
                
              
              
                Dhaniya:
                “There are cows, young bulls,
                cows in calf, & breeding cows,
                & a great bull, the leader of the herd:
                So if you want, rain-god,
                go ahead & rain.”
              
              
                
                  The Buddha:
                  “There are no cows, no young bulls,
                  no cows in calf or breeding cows,
                  no great bull, the leader of the herd7:
                  So if you want, rain-god,
                  go ahead & rain.”
                
              
              
                Dhaniya:
                “The stakes are dug-in, immovable.
                The new muñja-grass halters, well-woven,
                not even young bulls could break:
                So if you want, rain-god,
                go ahead & rain.”
              
              
                
                  The Buddha:
                  “Having broken my bonds
                  like a great bull,
                  like a great elephant
                  tearing a rotting vine,8
                  I never again
                  will lie in the womb:
                  So if you want, rain-god,
                  go ahead & rain.”9
                
              
              
                The great cloud rained down
                straightaway,
                filling the lowlands & high.
                Hearing the rain-god pour down,
                Dhaniya said:
              
              

                
                  “How great our gain
                  that we’ve gazed
                  on the Blessed One!
                  We go to him,
                  the One with Eyes,10
                  for refuge.
                  May you be our teacher, Great Sage.
                  My wife & I are composed.
                  Let’s follow the holy life
                  under the One Well-Gone.
                  Gone to the far shore
                  of aging & death,
                  let’s put an end
                  to suffering & stress.”
                
              
              
                
                  Māra:11
                  “Those with children
                  delight
                  because of their children.
                  Those with cattle
                  delight
                  because of their cows.
                  A person’s delight
                  comes from acquisitions,
                  for a person with no acquisitions
                  doesn’t delight.”
                
              
              
                
                  The Buddha:
                  “Those with children
                  grieve
                  precisely because of their children.
                  Those with cattle
                  grieve
                  precisely because of their cows.
                  A person’s grief
                  comes from acquisitions,
                  for a person with no acquisitions
                  doesn’t grieve.”12
                
              
            
            vv.18–34",No Introduction,"s
              1. Dhaniya Gopa: literally, One Whose Wealth is in Cattle. According to SnA, his herd consisted of 30,000 head of cattle.
              2. The first line in the Buddha’s verse plays on words in the first line of Dhaniya’s. “Free from anger” (akkodhano) plays on “rice is cooked” (pakkodano); and “rigidity” (khilo) plays on “milk” (khīro).
              3. “Open” means having a mind not covered or concealed by craving, defilement, or ignorance. This image is also used at Ud 5:5 and Sn 4:4. “My fire out” refers to the fires of passion, aversion, & delusion; birth, aging, & death; sorrow, lamentation, pain, distress, & despair. See SN 35:28; Iti 93; and The Mind Like Fire Unbound.
              4. The raft stands for the noble eightfold path. See MN 22 and SN 35:197.
              5. As this verse doesn’t seem to be a direct response to the preceding one, SnA suggests that we are missing part of the conversation here. An alternative possibility is that the Buddha is engaging in word play—the word “crossed over” (tiṇṇa) being a pun on Dhaniya’s reference to grass (tiṇa).
              6. According to SnA, the Buddha is not in anyone else’s employ nor even in his own employ—i.e., he is not in the employ of craving.
              7. The Buddha may be speaking literally here—he has no cattle, so there is no way that a heavy rain could cause him harm—but he may also be speaking metaphorically. See SN 4:19 and Thag 1:1.
              8. See MN 66.
              9. This verse is quoted in the Milinda Pañhā.
              10. On the theme of the Buddha as “One with Eyes,” see DN 16, note 44.",", Sn 2:12, note 2.
              11. According to SnA, Māra suddenly comes on the scene to try—unsuccessfully—to prevent Dhaniya and his wife from going forth. His verses here, together with the Buddha’s response, are also found at SN 4:8.
              12. See Sn 3:12, note 2.
            
            See also: SN 4:8; AN 3:35; AN 3:110; AN 7:6-7; Ud 2:10; Thig 1:1"
Sn 1:3  A Rhinoceros,Sn 1:3,https://www.dhammatalks.org/suttas/KN/StNp/StNp1_3.html,"Sn 1:3  A Rhinoceros  —  If you can’t find a good teacher, it’s better to wander alone.","KN/Sn/1:3
                         Renouncing violence
              for all living beings,
              harming not even one of them,
              you would not wish for offspring,
              so how a companion?
              Wander alone1
              like a rhinoceros.
              
                For a person by nature entangled
                there are affections;
                on the heels of affection, this pain.
                Seeing the drawback born of affection,
                wander alone
                like a rhinoceros.
              
              
                One whose mind
                is enmeshed in sympathy
                for friends & companions,
                neglects the goal.
                Seeing this danger in intimacy,
                wander alone
                like a rhinoceros.
              
              
                Like spreading bamboo,
                entwined,
                is concern for offspring & spouses.
                Like a bamboo sprout,
                unentangling,
                wander alone
                like a rhinoceros.
              
              
                As a deer in the wilds,
                unfettered,2
                goes for forage wherever it wants:
                The observant person, valuing freedom,
                wanders alone
                like a rhinoceros.
              
              
                In the midst of companions
                —when staying at home,
                when going out wandering—
                you are prey to requests.
                Valuing the freedom
                that no one else covets,
                wander alone
                like a rhinoceros.
              
              
                There is sporting & love
                in the midst of companions,
                & abundant love for offspring.
                Feeling disgust
                at the prospect of parting
                from those who’d be dear,
                wander alone
                like a rhinoceros.
              
              
                Without resistance in all four directions,
                content with whatever you get,
                enduring troubles without panic,
                wander alone
                like a rhinoceros.
              
              
                They are hard to please,
                some of those gone forth,
                as well as those living the household life.
                Being unconcerned
                with the offspring of others,
                wander alone
                like a rhinoceros.
              
              
                Cutting off the householder’s marks,3
                like a kovilara tree
                that has shed its leaves,
                the enlightened one, cutting all household ties,
                wanders alone
                like a rhinoceros.
              
              
                
                  If you gain an astute companion,
                  a fellow traveler, right-living, enlightened,
                  overcoming all troubles,
                  go with him, gratified,
                  mindful.
                
              
              
                
                  If you don’t gain an astute companion,
                  a fellow traveler, right-living & wise,
                  wander alone
                  like a king renouncing his kingdom,
                  like the elephant in the Mataṅga wilds,
                  [his herd].4
                
              
              
                We praise companionship
                —yes!
                Those on a par, or better,
                should be chosen as friends.
                If they’re not to be found,
                living faultlessly,
                wander alone
                like a rhinoceros.
              
              
                Seeing radiant bracelets of gold,
                well-made by a smith,
                clinking, clashing,
                two on an arm,
                wander alone
                like a rhinoceros,
              
              
                [Thinking:]
                “In the same way,
                if I were to live with another,
                there would be conversation or attachment.”
                Seeing this future danger,
                wander alone
                like a rhinoceros.
              
              
                Because sensual pleasures,
                elegant, honeyed, & charming,
                bewitch the mind with their manifold forms—
                seeing this drawback in sensual strings5—
                wander alone
                like a rhinoceros.
              
              
                “Calamity, tumor, misfortune,
                disease, an arrow, a danger for me.”
                Seeing this danger in sensual strings,
                wander alone
                like a rhinoceros.
              
              
                Cold & heat, hunger & thirst,
                wind & sun, horseflies & snakes:
                Enduring all these, without exception,
                wander alone
                like a rhinoceros.
              
              
                As a great white elephant,
                with massive shoulders,
                renouncing his herd,
                lives in the wilds wherever he wants,
                wander alone
                like a rhinoceros.
              
              
                “There’s no way
                that one delighting in company
                can touch even momentary release.”6
                Heeding the words
                of the Kinsman of the Sun,7
                wander alone
                like a rhinoceros.
              
              
                Transcending the contortion of views,8
                the sure way attained,
                the path gained,
                [realizing:]
                “Unled by others,
                I have knowledge arisen,”
                wander alone
                like a rhinoceros.
              
              
                With no greed, no deceit,
                no thirst, no hypocrisy—
                delusion & blemishes
                blown away—
                with no inclinations for all the world,
                every world,
                wander alone
                like a rhinoceros.
              
              
                Avoid the evil companion
                disregarding the goal,
                intent on the discordant9 way.
                Don’t associate yourself
                with someone heedless & hankering.
                Wander alone
                like a rhinoceros.
              
              
                Consort with one who is learned,
                who maintains the Dhamma,
                a great & quick-witted friend.
                Knowing the meanings,
                subdue your perplexity,
                [then] wander alone
                like a rhinoceros.
              
              
                Free from longing, finding no pleasure
                in the world’s sport, ardor, or sensual bliss,
                abstaining from adornment,
                speaking the truth,
                wander alone
                like a rhinoceros.
              
              
                Abandoning offspring, spouse,
                father, mother,
                riches, grain, relatives,
                & sensual pleasures
                altogether,
                wander alone
                like a rhinoceros.
              
              
                “This is a bondage.
                There’s little happiness here,
                next to no enjoyment,
                all the more suffering & pain.10
                This is a boil”11:
                Knowing this, circumspect,
                wander alone
                like a rhinoceros.
              
              
                Shattering fetters,
                like a fish in the water tearing a net,
                like a fire not coming back to what’s burnt,
                wander alone
                like a rhinoceros.
              
              
                Eyes downcast, not footloose,
                senses guarded, with protected mind,
                not soggy, not burning,12
                wander alone
                like a rhinoceros.
              
              
                Taking off the householder’s marks,13
                like a coral tree
                that has shed its leaves,
                going forth in the ochre robe,
                wander alone
                like a rhinoceros.
              
              
                Showing no greed for flavors, not wanton,
                going from house to house for alms
                with mind unenmeshed in this family or that,
                wander alone
                like a rhinoceros.
              
              
                Abandoning barriers to awareness,
                expelling all defilements—all—
                non-dependent, cutting aversion,
                affection,
                wander alone
                like a rhinoceros.
              
              
                Turning your back on pleasure & pain,
                as earlier with sorrow & joy,
                attaining pure
                equanimity,
                tranquility,14
                wander alone
                like a rhinoceros.
              
              
                With persistence aroused
                for the highest goal’s attainment,
                with mind unsmeared, not lazy in action,
                firm in effort, with steadfastness & strength arisen,
                wander alone
                like a rhinoceros.
              
              
                Not neglecting seclusion, jhāna,
                constantly living the Dhamma
                in line with the Dhamma,
                comprehending the danger
                in states of becoming,
                wander alone
                like a rhinoceros.
              
              
                Intent on the ending of craving & heedful,
                neither drooling nor dumb,
                but learned, mindful,
                —having reckoned the Dhamma—
                certain & striving,
                wander alone
                like a rhinoceros.
              
              
                Unstartled,     like a lion at sounds.
                Unsnared,     like the wind in a net.
                Unsmeared,     like a lotus in water15:
                Wander alone
                like a rhinoceros.
              
              
                Like a lion—forceful, strong in fang,
                living as a conqueror, the king of beasts—
                resort to a solitary dwelling.
                Wander alone
                like a rhinoceros.
              
              
                At the right time consorting
                with the release through goodwill,
                compassion,
                empathetic joy,
                equanimity,
                unobstructed by all the world,
                any world,
                wander alone
                like a rhinoceros.
              
              
                Having let go of     passion,
                aversion,
                delusion;
                having shattered     the fetters;
                unfazed     at the ending of life,
                wander alone
                like a rhinoceros.
              
              
                People follow & associate
                for a motive.
                Friends without a motive these days
                are rare.
                They’re shrewd for their own ends, & impure.
                Wander alone
                like a rhinoceros.
              
            
            vv. 35–75","The refrain in this sutta is a subject of controversy. The text literally says, “Wander alone like a ‘sword-horn,’ which is the Pali term for rhinoceros. SnA, however, insists that this refers not to the animal but to its horn, because the Indian rhinoceros, unlike the African, has only one horn. Still, some scholars have noted that while the Indian rhinoceros is a solitary animal, rhinoceros horns don’t wander, and that in other verses in the Pali Canon, the phrase “wander alone like…” takes a person or an animal, not an animal part, for its object. Thus, for example, in Dhp 329 (repeated below), one is told to “wander alone like a king renouncing his kingdom, like the elephant in the Mataṅga woods, his herd.” It’s possible that the rhinoceros was chosen here as an example of solitary wandering both because of its habits and because of its unusual single horn. However, in a translation, it’s necessary to choose one reading over the other. Thus, because wandering ”like a rhinoceros” sounds more natural than wandering “like a horn,” I have chosen the former rendering. Keep in mind, though, that the singularity of the rhinoceros horn reinforces the image.
            Other versions of this poem exist in Sanskrit: a short Sanskrit version in the Mahāvastu, and a Gāndhārī version in a manuscript discovered in Central Asia. The Gāndhārī version contains many of the same verses given here, but in a different order. The Mahāvastu version contains only 12 verses, but it is followed by a statement that the full version of the sutta contained 500 verses. How that number was achieved is suggested by the fact that, of the 12 verses, several contain only minor variations from one another. All of this suggests that the verses here originally may have been separate poems, composed on separate occasions, and that they were gathered together because of their common refrain.
            Like the Pārānaya Vagga, this poem is given a detailed interpretation in Nd II. Nd II ends its discussion of this sutta by saying that it was spoken by a Private Buddha, i.e., one who gains awakening on his own but is unable to formulate the Dhamma in such a way as to teach others to gain awakening. This assertion, however, is contradicted by the content of some of the verses, such as the one beginning, “Consort with one who is learned, who maintains the Dhamma, a great & quick-witted friend.” Such a friend would not have existed in the time of a Private Buddha.
            There is evidence suggesting that in the centuries after the rule of King Asoka, monastery-dwelling monks began to look askance at forest-dwelling monks, and in some cases even forbade them from entering the precincts around the stupas of their monasteries. Because Nd I and Nd II were most likely composed by monastery-dwelling monks, it might be the case that they tried to blunt the message of this sutta by attributing it to a Private Buddha rather than to our Buddha, the implication being that its advice was not appropriate for monks of their day and age.
            
","s
              1. Nd II details the various ways in which a Private Buddha can be said to wander alone (eko). Two of the ways have to do with physical seclusion: He goes forth alone and wanders without a companion. The remaining have to do with mental seclusion: He has abandoned craving; is free of passion, aversion, and delusion; and has followed the path going one way only (ekāyanamagga). Interestingly enough, Nd II defines this path, not as just the four establishings of mindfulness (see DN 22) but as all seven sets of dhammas in the Wings to Awakening.
              Nd II illustrates its reference to the abandoning of craving as a type of seclusion with this verse from Iti 15:
              
                With craving his companion, a man
                wanders on a long, long time.
                Neither in this state here
                nor anywhere else
                does he go beyond
                the wandering-on.
                Knowing this drawback—
                that craving brings stress into play—
                free          from craving,
                devoid     of clinging,
                mindful,     the monk
                lives the mendicant life. 
              
              Nd II illustrates its reference to the path going one way only with this verse from SN 47:18 and SN 47:43:
              
                One with vision of the ending of birth,
                sympathetic to welfare,
                discerns the path going one way only,
                by which, in the past, they crossed over,
                are now crossing over,
                and will cross over
                the flood.
              
              2. SN 35:191 lists two fetters: desire and passion. AN 10:13 lists ten: self-identification views, uncertainty, grasping at habits & practices, sensual desire, ill will, passion for form, passion for what is formless, conceit, restlessness, and ignorance. 
              3. Hair and beard.
              4. These verses = Dhp 328–329.
              5. “There are these five strings of sensuality. Which five? Forms cognizable via the eye—agreeable, pleasing, charming, endearing, enticing, linked with sensual desire; sounds cognizable via the ear… aromas cognizable via the nose… flavors cognizable via the tongue… tactile sensations cognizable via the body—agreeable, pleasing, charming, endearing, enticing, linked with sensual desire. But these are not sensuality. They are called strings of sensuality in the discipline of the noble ones.” — AN 6:63
              6. The temporary release from such things as the hindrances, attained when entering right concentration, or the temporary release from some of the factors of lower states of jhāna, attained when entering higher states of jhāna. This release lasts only as long as the necessary causal factors are still in place. This is apparently the same thing as the occasional release/liberation mentioned in MN 29. See note 2 to that sutta.
              7. An epithet for the Buddha.
              8. According to Nd II, the views here are the 20 forms of identity-views (see SN 22:1) and the 62 views discussed in DN 1. (The connection between these two lists is discussed in SN 41:3.) MN 2, however, explains a “contortion of views” in different terms, which may have been intended here.
              9. Visama. See Sn 1:12, note 11.
              10. See MN 54.
              11. Reading gaṇḍo with the Thai editions. The other editions have gaḷo, fishhook. See AN 9:15.
              12. Nd II explains “not soggy” by quoting Ven. Mahā Moggallāna’s words in SN 35:202. The central part of the passage is this: “And how is one soggy? There is the case where a monk, when seeing a form via the eye, is, in the case of pleasing forms, committed to forms and, in the case of displeasing forms, afflicted by forms. He remains with body-mindfulness not present, and with limited awareness. And he does not discern, as it has come to be, the awareness-release & discernment-release where those evil, unskillful qualities that have arisen cease without trace. [Similarly with the remaining sense media.] … 
              “And how is one not soggy? There is the case where a monk, when seeing a form via the eye, is not, in the case of pleasing forms, committed to forms nor, in the case of displeasing forms, afflicted by forms. He remains with body-mindfulness present, and with immeasurable awareness. And he discerns, as it has come to be, the awareness-release & discernment-release where those evil, unskillful qualities that have arisen cease without trace. [Similarly with the remaining sense media.]”","AN 3:110.
              According to Nd II, “not burning” means not burning with the fires of passion, aversion, and delusion. See SN 35:28 and Iti 93.
              13. Lay clothing.
              14. This is a reference to the fourth jhāna. See MN 119.
              15. These lines are repeated at Sn 1:12.
            
            See also: SN 21:10; SN 35:63; AN 9:40; Ud 4:5; Iti 15; Iti 38"
Sn 1:4  To Kasi Bhāradvāja,Sn 1:4,https://www.dhammatalks.org/suttas/KN/StNp/StNp1_4.html,Sn 1:4  To Kasi Bhāradvāja  —  The Buddha answers a farmer who claims that monks do no useful work and so don’t deserve to eat.,"KN/Sn/1:4
            I have heard that on one occasion the Blessed One was staying among the Magadhans in Dakkhiṇāgiri near the brahman village of Ekanāḷā. Now at that time approximately 500 of the brahman Kasi [Plowing] Bhāradvāja’s plows were yoked at the sowing time. Then, in the early morning, after adjusting his lower robe and carrying his bowl & outer robe, the Blessed One went to where Kasi Bhāradvāja was working. Now at that time Kasi Bhāradvāja’s food-distribution was underway. So the Blessed One went to Kasi Bhāradvāja’s food-distribution and, on arrival, stood to one side. Kasi Bhāradvāja saw the Blessed One standing for alms, and on seeing him, said to him, “I, contemplative, plow & sow. Having plowed & sown, I eat. You, too, contemplative, should plow & sow. Having plowed & sown, you (will) eat.”
            “I, too, brahman, plow & sow. Having plowed & sown, I eat.”
            “But, contemplative, we don’t see the Master Gotama’s yoke or plow, plowshare, goad, or oxen, and yet the Master Gotama says this: ‘I, too, brahman, plow & sow. Having plowed & sown, I eat.’”
            Then Kasi Bhāradvāja addressed the Blessed One with a verse:
            
              You claim to be a plowman,
              but we don’t see your plowing.
              Being asked, tell us about your plowing
              so that we may know your plowing.
              
                The Buddha:
                Conviction’s     my seed,
                austerity     my rain,
                discernment     my yoke & plow,
                shame     my pole,
                mind     my yoke-tie,
                mindfulness     my plowshare & goad.
              
              
                Guarded in body,
                guarded in speech,
                restrained in terms of belly & food,
                I make truth a weeding-hook,
                and composure my unyoking.
                Persistence, my beast of burden,
                bearing me toward rest from the yoke,
                takes me, without turning back,
                to where, having gone,
                one doesn’t grieve.
                That’s how my plowing is plowed.
                It has
                as its fruit
                the deathless.
                Having plowed this plowing,
                one is unyoked
                from all suffering
                & stress.
              
            
            Then Kasi Bhāradvāja, having heaped up milk-rice in a large bronze serving bowl, offered it to the Blessed One, [saying,] “May Master Gotama eat [this] milk-rice. The master is a plowman, for the Master Gotama plows the plowing that has as its fruit the deathless.”
            
              The Buddha:
              What’s been chanted over with verses
              shouldn’t be eaten by me.
              That’s not the nature, brahman,
              of one who’s seen rightly.
              What’s been chanted over with verses
              Awakened Ones reject.
              That being their Dhamma, brahman,
              this is their way of life.
              Serve with other food & drink
              a fully-perfected great seer,
              his effluents     ended,
              his anxiety     stilled,
              for that is the field
              for one looking for merit.
            
            “Then to whom, Master Gotama, should I give this milk-rice?”
            “Brahman, I don’t see that person in this world—with its devas, Māras, & Brahmās, in this generation with its contemplatives & brahmans, its royalty & commonfolk—by whom this milk-rice, having been eaten, would be rightly digested, aside from a Tathāgata or a Tathāgata’s disciple. In that case, brahman, throw the milk-rice away in a place without vegetation, or dump it in water with no living beings.”
            So Kasi Bhāradvāja dumped the milk-rice in water with no living beings. And the milk-rice, when dropped in the water, hissed & sizzled, seethed & steamed. Just as an iron ball heated all day, when tossed in the water, hisses & sizzles, seethes & steams, in the same way the milk-rice, when dropped in the water, hissed & sizzled, seethed & steamed.
            Then Kasi Bhāradvāja—in awe, his hair standing on end—went to the Blessed One and, on arrival, throwing himself down with his head at the Blessed One’s feet, said to him, “Magnificent, Master Gotama! Magnificent! Just as if he were to place upright what was overturned, to reveal what was hidden, to show the way to one who was lost, or to carry a lamp into the dark so that those with eyes could see forms, in the same way has Master Gotama—through many lines of reasoning—made the Dhamma clear. I go to Master Gotama for refuge, to the Dhamma, & to the Saṅgha of monks. May Master Gotama remember me as a lay follower who has gone for refuge from this day forward, for life. Let me obtain the Going-forth in Master Gotama’s presence, let me obtain Acceptance (into the Bhikkhu Saṅgha).”
            Then the brahman Kasi Bhāradvāja obtained the Going-forth in the Blessed One’s presence, he obtained Acceptance. And not long after his Acceptance—dwelling alone, secluded, heedful, ardent, & resolute—he in no long time reached & remained in the supreme goal of the holy life, for which clansmen rightly go forth from home into homelessness, knowing & realizing it for himself in the here-&-now. He knew: “Birth is ended, the holy life fulfilled, the task done. There is nothing further for the sake of this world.” And so Ven. Bhāradvāja became another one of the arahants.
            vv. 76–82","This sutta is nearly identical with SN 7:11—“nearly,” because the incident reported here of Kasi’s throwing away the milk-rice, and its sizzling in the water, is not included in that version.
           ",No Notes,: DN 16; SN 7:14; SN 7:17; AN 4:113; Thig 13:2
Sn 1:5  Cunda,Sn 1:5,https://www.dhammatalks.org/suttas/KN/StNp/StNp1_5.html,Sn 1:5  Cunda  —  Four different types of contemplatives and how to recognize them.,"KN/Sn/1:5
            
              Cunda the smith:
              I ask the sage of abundant discernment,
              awakened, lord of the Dhamma, free
              of craving,
              supreme
              among two-legged beings,
              best
              of charioteers:
              How many contemplatives
              are there in the world?
              Please tell me.
              
                The Buddha:
                Four contemplatives, there is no fifth.
                Being asked in person, I disclose them to you:
                the path-victor, the path-explainer,
                one who lives by the path,
                and the path-corrupter.
              
              
                Cunda:
                Whom do the awakened call
                the path-victor?
                How is one unequaled
                in pointing out the path?
                When asked, tell me about
                the one who lives by the path.
                Then disclose the path-corrupter to me.
              
              
                The Buddha:
                Whoever, de-arrowed,
                has crossed over doubt,
                is refreshed in unbinding,
                devoid of greed,
                a guide to the world along with its devas:
                The awakened call such a person
                path-victor.
              
              
                Whoever here knowing
                the foremost as foremost,
                who points out,
                who analyzes the Dhamma right here,
                he, the cutter of doubt, the sage unperturbed,
                is called the second of monks:
                path-explainer.
              
              
                Whoever lives by the path,
                the Dhamma-way well-explained,
                restrained, mindful,
                partaking of blameless ways,
                is called the third of monks:
                with the path as his life.
              
              
                Making a façade of good practices,
                brash, reckless, a corrupter of families,1
                idle, deceitful, unrestrained,
                & going about as a counterfeit:
                He is a path-corrupter.
              
              
                And when any householder
                —an instructed disciple of the noble ones,
                discerning—
                understands these,
                knowing, “Not all are like that one,”2
                seeing one like that
                doesn’t kill his conviction.
                For how would one equate
                the corrupt     with the uncorrupt,
                the impure     with the pure?
              
            
            vv. 83–90",No Introduction,"s
              1. A corrupter of families is a monk who ingratiates himself into a family’s affections by performing services for them that are inappropriate for a monk to do, thus diverting their faith away from those who live by the Dhamma and Vinaya. For more on this term, see The Buddhist Monastic Code, Saṅghādisesa 13.
              2. “That one” = the path-corrupter.",: DN 16; AN 10:176
