sutta,count,ref
MN 140,24,MN
MN 72,24,MN
MN 61,18,MN
MN 44,17,MN
MN 2,16,MN
MN 101,15,MN
MN 22,15,MN
MN 146,14,MN
MN 49,13,MN
MN 58,13,MN
MN 82,13,MN
MN 14,13,MN
MN 135,13,MN
MN 21,13,MN
MN 95,13,MN
MN 117,13,MN
MN 119,13,MN
MN 109,12,MN
MN 118,12,MN
MN 70,12,MN
MN 4,12,MN
MN 28,12,MN
MN 1,12,MN
MN 97,12,MN
MN 29–30,12,MN
MN 26,11,MN
MN 54,11,MN
MN 121,11,MN
MN 36,11,MN
MN 63,11,MN
MN 106,10,MN
MN 19,10,MN
MN 122,10,MN
MN 149,10,MN
MN 18,10,MN
MN 137,9,MN
MN 9,9,MN
MN 13–14,8,MN
MN 113,8,MN
MN 110,8,MN
MN 24,8,MN
MN 136,8,MN
MN 60,8,MN
MN 126,7,MN
MN 130,7,MN
MN 143,7,MN
MN 87,7,MN
MN 52,7,MN
MN 41,7,MN
MN 138,7,MN
MN 38,7,MN
MN 43,7,MN
MN 152,6,MN
MN 75,6,MN
MN 48,6,MN
MN 13,5,MN
MN 45,5,MN
MN 102,5,MN
MN 66,4,MN
MN 11,4,MN
MN 35,4,MN
MN 6,4,MN
MN 148,4,MN
MN 78,4,MN
MN 105,4,MN
MN 86,4,MN
MN 135–136,3,MN
MN 131,3,MN
MN 125,3,MN
MN 93,3,MN
MN 147,3,MN
MN 111,3,MN
MN 12,3,MN
MN 20,3,MN
MN 62,3,MN
MN 67,3,MN
MN 69,2,MN
MN 108,2,MN
MN 56,2,MN
MN 79,2,MN
MN 59,2,MN
MN 107,2,MN
MN 141,2,MN
MN 5,2,MN
MN 39,1,MN
"MN 87, SN 42:11, Ud 2:8, Ud 8:8",1,MN
MN 27,1,MN
DN 16MN 48,1,MN
"MN 63, MN 72",1,MN
"AN 5:28.
          
See alsoMN 7",1,MN
MN 123,1,MN
MN 35–36,1,MN
MN 39–40,1,MN
MN 31,1,MN
MN 19–20,1,MN
MN 90,1,MN
MN 77,1,MN
MN 57,1,MN
MN 55,1,MN
SN 12:15,23,SN
SN 42:8,20,SN
SN 22:122,15,SN
SN 36:6,12,SN
SN 3:24,11,SN
SN 55:40,11,SN
SN 52:10,11,SN
SN 3:17,11,SN
SN 1:20,10,SN
SN 12:20,10,SN
SN 4:19,10,SN
SN 35:115,10,SN
SN 35:63,9,SN
SN 22:23,9,SN
SN 17:8,9,SN
SN 47:8,9,SN
SN 51:20,9,SN
SN 22:60,8,SN
SN 17:5,8,SN
SN 35:204,8,SN
SN 56:11,8,SN
SN 45:8,8,SN
SN 46:14,8,SN
SN 22:1,8,SN
SN 12:67,8,SN
SN 35:97,8,SN
SN 5:10,8,SN
SN 36:7,8,SN
SN 47:13,8,SN
SN 11:3,8,SN
SN 17:3,7,SN
SN 11:5,7,SN
SN 44:10,7,SN
SN 3:25,7,SN
SN 35:197,7,SN
SN 1:25,7,SN
SN 12:64,7,SN
SN 3:19–20,7,SN
SN 22:85–86,7,SN
SN 42:6,7,SN
SN 3:5,7,SN
SN 12:46,7,SN
SN 35:82,7,SN
SN 22:88,7,SN
SN 46:51,7,SN
SN 46:54,7,SN
SN 16:13,6,SN
SN 35:202,6,SN
SN 55:54,6,SN
SN 15:3,6,SN
SN 23:2,6,SN
SN 48:44,6,SN
SN 35:200,6,SN
SN 7:2,6,SN
SN 22:57,6,SN
SN 36:11,6,SN
SN 20:7,6,SN
SN 35:127,5,SN
SN 22:59,5,SN
SN 21:10,5,SN
SN 35:117,5,SN
SN 47:19,5,SN
SN 46:53,5,SN
SN 12:25,5,SN
SN 22:5,5,SN
SN 41:10,5,SN
SN 12:23,5,SN
SN 52:9,5,SN
SN 6:15,5,SN
SN 6:2,5,SN
SN 22:101,5,SN
SN 1:71,5,SN
SN 48:53,5,SN
SN 12:70,5,SN
SN 22:89,5,SN
SN 35:189,5,SN
SN 6:1,5,SN
SN 22:36,5,SN
SN 47:20,5,SN
SN 41:4,5,SN
SN 45:2,5,SN
SN 47:6–7,5,SN
SN 42:11,5,SN
SN 12:35,5,SN
SN 35:23,4,SN
SN 35:101,4,SN
SN 12:48,4,SN
SN 3:23,4,SN
SN 35:80,4,SN
SN 9:1,4,SN
SN 35:191,4,SN
SN 1:10,4,SN
SN 5:7,4,SN
SN 35:99,4,SN
SN 21:2,4,SN
SN 35:199,4,SN
SN 51:15,4,SN
SN 9:11,4,SN
SN 41:7,4,SN
SN 35:28,4,SN
SN 5,4,SN
SN 27:1–10,4,SN
SN 12:68,4,SN
SN 12:2,4,SN
SN 22:3,4,SN
SN 22:100,4,SN
SN 35:85,4,SN
SN 22:2,4,SN
SN 55:1,4,SN
SN 1:1,4,SN
SN 20:4,4,SN
SN 22:79,4,SN
SN 22:132,3,SN
SN 1:38,3,SN
SN 3:19,3,SN
SN 22:94,3,SN
SN 10:12,3,SN
SN 22:86,3,SN
SN 22:131,3,SN
SN 9:9,3,SN
SN 12:65,3,SN
SN 22:53–55,3,SN
SN 54:11,3,SN
SN 12:17–18,3,SN
SN 4,3,SN
SN 46:4,3,SN
SN 7:17,3,SN
SN 35:116,3,SN
SN 22:47,3,SN
SN 22:121,3,SN
SN 38:14,3,SN
SN 36:31,3,SN
SN 5:1–10,3,SN
SN 45:1,3,SN
SN 35:207,3,SN
SN 36:21,3,SN
SN 35:135,3,SN
SN 22:54,3,SN
SN 35:93,3,SN
SN 35:193,3,SN
SN 12:63–64,3,SN
SN 12:38,3,SN
SN 1:41,3,SN
SN 44:1,3,SN
SN 35:153,3,SN
SN 35:88,3,SN
SN 25:1–10,3,SN
SN 44,3,SN
SN 48:56,3,SN
SN 42:9,3,SN
SN 10:4,2,SN
SN 20:4–5,2,SN
SN 47:35,2,SN
SN 12:51,2,SN
SN 44:9,2,SN
SN 8:4,2,SN
SN 41:3,2,SN
SN 22:48,2,SN
SN 55:21,2,SN
SN 16:5,2,SN
SN 12:66,2,SN
SN 22:56–57,2,SN
SN 54:9,2,SN
SN 35:145,2,SN
SN 22:85,2,SN
SN 20:6,2,SN
SN 3:14–15,2,SN
SN 3:7,2,SN
SN 35:95,2,SN
SN 46:11,2,SN
SN 4:8,2,SN
SN 12:44,2,SN
SN 4:20,2,SN
SN 12:52,2,SN
SN 7:14,2,SN
SN 10:8,2,SN
SN 4:13,2,SN
SN 42:2–3,2,SN
SN 9:6,2,SN
SN 43,2,SN
SN 5:4,2,SN
SN 16:2,2,SN
"SN 3:4, SN 3:17, SN 3:20, SN 3:25",2,SN
SN 35:205,2,SN
SN 9:14,2,SN
SN 22:90,2,SN
SN 2:19,2,SN
SN 42:13,2,SN
SN 35:206,2,SN
SN 48:52,2,SN
SN 15:8,2,SN
SN 47:4,2,SN
SN 22:99,2,SN
SN 54:8,2,SN
SN 55:7,2,SN
SN 21:3,2,SN
SN 22:84,2,SN
SN 36:22,2,SN
SN 12:61,2,SN
SN 47:40,2,SN
SN 55:5,2,SN
SN 35:23–24,2,SN
SN 42:7,2,SN
SN 3:1,1,SN
SN 45:171,1,SN
SN 22:80,1,SN
SN 22:76,1,SN
SN 42:10,1,SN
SN 42:7–8,1,SN
SN 55:33,1,SN
SN 22:82,1,SN
SN 15:5–6,1,SN
SN 22:93,1,SN
SN 11:14,1,SN
SN 47:25,1,SN
SN 22:81,1,SN
SN 48:41,1,SN
SN 56:45,1,SN
SN 4:21,1,SN
SN 12:1,1,SN
SN 3:9,1,SN
SN 56:22,1,SN
SN 36:4,1,SN
SN 22:53,1,SN
SN 21:5,1,SN
SN 46:45,1,SN
SN 21:4,1,SN
SN 55:21–22,1,SN
SN 15:11–19,1,SN
SN 4:1,1,SN
"SN 15:3, SN 15:9",1,SN
SN 47:10,1,SN
SN 55:31–33,1,SN
SN 56:1,1,SN
SN 1:72,1,SN
SN 1:51,1,SN
SN 47:5,1,SN
"SN 42:8, AN 3:66",1,SN
SN 12:11–12,1,SN
SN 45:49–55,1,SN
SN 51:22,1,SN
SN 48:10,1,SN
SN 3:20,1,SN
SN 22:127,1,SN
SN 9,1,SN
SN 54:6,1,SN
SN 15:11,1,SN
SN 15:9,1,SN
SN 15:6,1,SN
SN 15:5,1,SN
SN 15:11–12,1,SN
SN 22:55,1,SN
SN 47:38,1,SN
SN 47:42,1,SN
SN 22,1,SN
SN 48:46,1,SN
SN 56:102–113,1,SN
SN 56:35—36,1,SN
SN 15:13,1,SN
SN 12:10,1,SN
SN 56:35,1,SN
SN 12:17,1,SN
SN 12:18,1,SN
SN 48:39,1,SN
SN 3:21,1,SN
SN 22:56,1,SN
SN 5:1,1,SN
SN 15:11–13,1,SN
SN 22:22,1,SN
SN 42:3,1,SN
SN 15:12,1,SN
SN 15:14,1,SN
SN 6:1–2,1,SN
SN 46:18,1,SN
SN 42:8–9,1,SN
SN 15:13–19,1,SN
SN 12:63,1,SN
SN 56:20,1,SN
SN 56:35–36,1,SN
SN 15,1,SN
SN 13:1,1,SN
SN 48:4,1,SN
SN 48:3,1,SN
SN 45:8 and SN 56:11.,1,SN
SN 51:51,1,SN
SN 47:33,1,SN
SN 1:55,1,SN
SN 46:1,1,SN
SN 45:27,1,SN
SN 22:126,1,SN
SN 3:14-15,1,SN
SN 56:30,1,SN
SN 12:19,1,SN
SN 22:95,1,SN
SN 35:74,1,SN
SN 56:31,1,SN
SN 3,1,SN
SN 35:69,1,SN
SN 5:5,1,SN
DN 16,30,DN
DN 2,24,DN
DN 11,19,DN
DN 15,17,DN
DN 9,13,DN
DN 21,10,DN
DN 22,9,DN
DN 12,7,DN
DN 26,4,DN
DN 29,3,DN
DN 1,2,DN
DN 21–22,1,DN
AN 8:54,22,AN
AN 8:70,15,AN
AN 9:36,15,AN
AN 3:66,15,AN
AN 4:192,14,AN
AN 4:28,14,AN
AN 6:63,14,AN
AN 8:30,14,AN
AN 11:16,13,AN
AN 4:178,13,AN
AN 3:101,13,AN
AN 4:24,12,AN
AN 3:62,12,AN
AN 9:1,12,AN
AN 10:13,12,AN
AN 10:81,12,AN
AN 3:35,12,AN
AN 11:10,12,AN
AN 5:28,12,AN
AN 4:94,12,AN
AN 4:200,12,AN
AN 6:43,12,AN
AN 10:58,11,AN
AN 10:60,11,AN
AN 5:57,11,AN
AN 10:15,11,AN
AN 4:113,11,AN
AN 10:71,11,AN
AN 8:53,11,AN
AN 4:42,11,AN
AN 4:99,10,AN
AN 4:37,10,AN
AN 7:56,10,AN
AN 5:49,10,AN
AN 10:176,10,AN
AN 7:48,10,AN
AN 4:170,10,AN
AN 9:7,10,AN
AN 5:34,10,AN
AN 4:184,10,AN
AN 5:75—76,9,AN
AN 7:60,9,AN
AN 4:111,9,AN
AN 5:202,9,AN
AN 8:103,9,AN
AN 3:39,9,AN
AN 7:64,9,AN
AN 5:30,9,AN
AN 4:245,9,AN
AN 10:51,8,AN
AN 3:110,8,AN
AN 4:159,8,AN
AN 9:20,8,AN
AN 3:103,8,AN
AN 7:46,8,AN
AN 10:93,8,AN
AN 6:37,8,AN
AN 10:165,8,AN
AN 5:114,8,AN
AN 7:49,8,AN
AN 10:72,8,AN
AN 10:99,8,AN
AN 9:34,8,AN
AN 6:19–20,8,AN
AN 7:58,7,AN
AN 6:13,7,AN
AN 10:80,7,AN
AN 5:148,7,AN
AN 3:68,7,AN
AN 4:73,7,AN
AN 10:17,7,AN
AN 7:21,7,AN
AN 4:45,7,AN
AN 4:96,7,AN
AN 5:139—140,7,AN
AN 10:92,7,AN
AN 6:12,7,AN
AN 6:86–88,7,AN
AN 3:129,7,AN
AN 8:13—14,7,AN
AN 7:6,7,AN
AN 4:128,7,AN
AN 6:55,7,AN
AN 6:19—20,7,AN
AN 3:71,7,AN
AN 6:42,6,AN
AN 9:40,6,AN
AN 10:24,6,AN
AN 5:20,6,AN
AN 6:49,6,AN
AN 3:58,6,AN
AN 4:41,6,AN
AN 7:70,6,AN
AN 5:27,6,AN
AN 3:22,6,AN
AN 2:5,6,AN
AN 5:79,6,AN
AN 7:63,6,AN
AN 10:61,5,AN
AN 10:95,5,AN
AN 4:263,5,AN
AN 4:62,5,AN
AN 4:67,5,AN
AN 5:175,5,AN
AN 5:41,5,AN
AN 5:129,5,AN
AN 8:40,5,AN
AN 4:173,5,AN
AN 4:5,5,AN
AN 5:151,5,AN
AN 4:163,5,AN
AN 2:31–32,5,AN
AN 10:48,5,AN
AN 5:80,5,AN
AN 3:74,5,AN
AN 5:179,5,AN
AN 3:87–88,5,AN
AN 4:95—96,5,AN
AN 9:38,5,AN
AN 9:62,5,AN
AN 4:32,5,AN
AN 9:41,5,AN
AN 2:31—32,5,AN
AN 3:73,5,AN
AN 5:43,4,AN
AN 3:34,4,AN
AN 10:196,4,AN
AN 3:123,4,AN
AN 8:7,4,AN
AN 5:51,4,AN
AN 3:133,4,AN
AN 8:95,4,AN
AN 10:20,4,AN
AN 4:199,4,AN
AN 7:6–7,4,AN
AN 5:77—80,4,AN
AN 6:60,4,AN
AN 6:16,4,AN
AN 4:183,4,AN
AN 8:39,4,AN
AN 6:45,4,AN
AN 5:26,4,AN
AN 10:94,4,AN
AN 3:102,4,AN
AN 4:10,4,AN
AN 2:118,4,AN
AN 3:88,4,AN
AN 1:329,3,AN
AN 9:43—45,3,AN
AN 8:26,3,AN
AN 6:20,3,AN
AN 4:179,3,AN
AN 5:53,3,AN
AN 5:180,3,AN
AN 9:39,3,AN
AN 6:102—104,3,AN
AN 4:123,3,AN
AN 7:6—7,3,AN
AN 3:15,3,AN
AN 5:38,3,AN
AN 5:79–80,3,AN
AN 5:98,3,AN
AN 5:73,3,AN
AN 5:36,3,AN
AN 2:19,3,AN
AN 4:125,3,AN
AN 8:8,3,AN
AN 3:96,3,AN
AN 5:130,3,AN
AN 4:77,3,AN
AN 3:61,3,AN
AN 4:237,3,AN
AN 3:97,3,AN
AN 2:36,3,AN
AN 10:54,3,AN
AN 9:13,3,AN
AN 3:63,3,AN
AN 5:75–76,3,AN
AN 10:69,3,AN
AN 4:131,3,AN
AN 7:80,3,AN
AN 5:198,3,AN
AN 5:161–162,3,AN
AN 4:115,3,AN
AN 9:37,3,AN
AN 4:194,3,AN
AN 2:30,3,AN
AN 1:140–141,2,AN
AN 9:15,2,AN
AN 2:46,2,AN
AN 8:7–8,2,AN
AN 9:33,2,AN
AN 5:140,2,AN
AN 5:159,2,AN
AN 6:51,2,AN
AN 6:86—88,2,AN
AN 5:31,2,AN
AN 3:77–78,2,AN
AN 7:51,2,AN
AN 4:125–126,2,AN
AN 2:99,2,AN
AN 5:191,2,AN
AN 3:77—78,2,AN
AN 7:6-7,2,AN
AN 10:70,2,AN
AN 9:43–45,2,AN
AN 5:170,2,AN
AN 4:199–200,2,AN
AN 4:181,2,AN
AN 3:48,2,AN
AN 3:99,2,AN
AN 5:76,2,AN
AN 4:19,2,AN
AN 4:252,2,AN
AN 5:77,2,AN
AN 3:83,2,AN
AN 5:254—259,2,AN
