sutta,count,ref
MN 117,29,MN
MN 113,27,MN
MN 2,23,MN
MN 138,21,MN
MN 77,19,MN
MN 131,19,MN
MN 26,19,MN
MN 72,18,MN
MN 125,16,MN
MN 136,16,MN
MN 122,15,MN
MN 4,14,MN
MN 24,14,MN
MN 36,13,MN
MN 43,13,MN
MN 41,12,MN
MN 78,12,MN
MN 60,10,MN
MN 6,10,MN
MN 97,10,MN
MN 123,10,MN
MN 19,10,MN
MN 135,10,MN
MN 5,9,MN
MN 66,9,MN
MN 143,9,MN
MN 149,9,MN
MN 9,9,MN
MN 101,9,MN
MN 64,9,MN
MN 11,9,MN
MN 102,8,MN
MN 121,8,MN
MN 14,8,MN
MN 62,8,MN
MN 59,8,MN
MN 29,7,MN
MN 49,7,MN
MN 63,7,MN
MN 39,7,MN
MN 69,7,MN
MN 67,7,MN
MN 82,7,MN
MN 75,7,MN
MN 107,6,MN
MN 25,6,MN
MN 137,6,MN
MN 128,6,MN
MN 10,6,MN
MN 22,6,MN
MN 20,6,MN
MN 31,5,MN
MN 90,5,MN
MN 105,5,MN
MN 151,5,MN
MN 106,5,MN
MN 13,5,MN
MN 119,5,MN
MN 58,5,MN
MN 110,5,MN
MN 146,4,MN
MN 33,4,MN
MN 109,4,MN
MN 111,4,MN
MN 52,4,MN
MN 95,4,MN
MN 45,4,MN
MN 126,4,MN
MN 108,4,MN
MN 147,4,MN
MN 152,4,MN
MN 1,4,MN
MN 38,3,MN
MN 56,3,MN
MN 30,3,MN
MN 87,3,MN
MN 148,3,MN
MN 18,3,MN
MN 74,3,MN
MN 86,2,MN
MN 40,2,MN
MN 61,2,MN
MN 93,2,MN
MN 21,2,MN
MN 7,2,MN
MN 44,2,MN
MN 141,2,MN
MN 130,1,MN
MN 48,1,MN
MN 51,1,MN
MN 118,1,MN
MN 70,1,MN
MN 28,1,MN
MN 12,1,MN
SN 12:51,32,SN
SN 27:3,31,SN
SN 48:46,28,SN
SN 5:10,27,SN
SN 5:3,27,SN
SN 5:2,25,SN
SN 22:121,24,SN
SN 45:1,23,SN
SN 9:11,23,SN
SN 5:7,23,SN
SN 12:35,22,SN
SN 9:1,21,SN
SN 47:33,20,SN
SN 27:1,20,SN
SN 35:88,20,SN
SN 12:61,19,SN
SN 35:193,19,SN
SN 47:25,18,SN
SN 51:15,18,SN
SN 3:1,17,SN
SN 35:153,17,SN
SN 35:97,17,SN
SN 22:5,17,SN
SN 27:7,17,SN
SN 55:31,17,SN
SN 27:4,17,SN
SN 21:1,16,SN
SN 22:36,16,SN
