Field1,Field2,Field3_links
Introduction,Introduction,https://www.dhammatalks.org/suttas/KN/Thag/introduction.html
Thig 1:1  An Anonymous Nun,"Thig 1:1  An Anonymous Nun  —  Passion stilled, like a pot of pickled greens boiled dry.",https://www.dhammatalks.org/suttas/KN/Thig/thig1_1.html
Thig 1:3  Puṇṇā,Thig 1:3  Puṇṇā  —  Grow full (puṇṇā) with good qualities like the full moon.,https://www.dhammatalks.org/suttas/KN/Thig/thig1_3.html
Thig 1:11  Muttā,Thig 1:11  Muttā  —  From three crooked things set free.,https://www.dhammatalks.org/suttas/KN/Thig/thig1_11.html
Thig 1:17  Dhammā,Thig 1:17  Dhammā  —  Set free after falling  down on the ground.,https://www.dhammatalks.org/suttas/KN/Thig/thig1_17.html
Thig 2:3  Sumaṅgala’s Mother,"Thig 2:3  Sumaṅgala’s Mother  —  From three crooked things set free, I do jhāna.",https://www.dhammatalks.org/suttas/KN/Thig/thig2_3.html
Thig 2:4  Aḍḍhkāsī,Thig 2:4  Aḍḍhkāsī  —  A high-priced courtesan becomes disgusted with her body.,https://www.dhammatalks.org/suttas/KN/Thig/thig2_4.html
Thig 3:2  Uttamā,"Thig 3:2  Uttamā  —  After running amok, a nun learns the Dhamma and gains awakening.",https://www.dhammatalks.org/suttas/KN/Thig/thig3_2.html
Thig 3:4  Dantikā & the Elephant,"Thig 3:4  Dantikā & the Elephant  —  Seeing an untamed elephant made tame (danta), a nun centers her mind.",https://www.dhammatalks.org/suttas/KN/Thig/thig3_4.html
Thig 3:5  Ubbiri,Thig 3:5  Ubbiri  —  A nun recalls the Buddha’s words that freed her from grief over her dead daughter.,https://www.dhammatalks.org/suttas/KN/Thig/thig3_5.html
"Thig 5:2  Vimalā, the Former Courtesan","Thig 5:2  Vimalā, the Former Courtesan  —  Once adorned as a courtesan, now wrapped in a double cloak, a nun cuts through all ties, human and divine.",https://www.dhammatalks.org/suttas/KN/Thig/thig5_2.html
Thig 5:4  Nandā’s Vision,Thig 5:4  Nandā’s Vision  —  The Buddha’s half-sister contemplates a dead body and so grows enchanted with her own.,https://www.dhammatalks.org/suttas/KN/Thig/thig5_4.html
Thig 5:6  Mittakālī,"Thig 5:6  Mittakālī  —  Once greedy for tribute, a nun comes to her senses.",https://www.dhammatalks.org/suttas/KN/Thig/thig5_6.html
"Thig 5:8  Soṇā, Mother of Ten","Thig 5:8  Soṇā, Mother of Ten  —  After giving birth to ten children, an old nun goes beyond birth and aging.",https://www.dhammatalks.org/suttas/KN/Thig/thig5_8.html
Thig 5:10  Paṭācārā,"Thig 5:10  Paṭācārā  —  “And taking a pin, I pulled out the wick…”",https://www.dhammatalks.org/suttas/KN/Thig/thig5_10.html
Thig 5:11  Paṭācārā’s Thirty Students,Thig 5:11  Paṭācārā’s Thirty Students  —  Pāṭācārā’s students pay her homage after having followed her instructions.,https://www.dhammatalks.org/suttas/KN/Thig/thig5_11.html
"Thig 5:12  Candā, the Beggar","Thig 5:12  Candā, the Beggar  —  Exhorted by Pāṭācārā, a former beggar gains awakening.",https://www.dhammatalks.org/suttas/KN/Thig/thig5_12.html
Thig 6:1  Paṭācārā’s 500 Students,Thig 6:1  Paṭācārā’s 500 Students  —  Pāṭācārā tells her students of the Buddha’s words that freed her from grief over her dead son.,https://www.dhammatalks.org/suttas/KN/Thig/thig6_1.html
Thig 6:2  Vāsiṭṭhī the Madwoman,"Thig 6:2  Vāsiṭṭhī the Madwoman  —  Once mad with grief over her dead son, a woman regains her mind and goes forth after meeting the Buddha.",https://www.dhammatalks.org/suttas/KN/Thig/thig6_2.html
Thig 6:3  Khemā,"Thig 6:3  Khemā  —  Two poems. In the first, Māra tries to tempt a nun to enjoy sensuality. In the second, the nun contrasts effective and ineffective ways of paying homage for the sake of purity.",https://www.dhammatalks.org/suttas/KN/Thig/thig6_3.html
Thig 6:4  Sujātā,"Thig 6:4  Sujātā  —  Returning from a picnic, a woman penetrates the Dhamma on hearing the Buddha’s teachings.",https://www.dhammatalks.org/suttas/KN/Thig/thig6_4.html
"Thig 6:5  Anopamā, the Millionaire’s Daughter","Thig 6:5  Anopamā, the Millionaire’s Daughter  —  A woman sought after by many potential husbands seeks and finds the Dhamma instead.",https://www.dhammatalks.org/suttas/KN/Thig/thig6_5.html
Thig 6:6  Mahāpajāpatī Gotamī,Thig 6:6  Mahāpajāpatī Gotamī  —  The Buddha’s stepmother pays homage to him.,https://www.dhammatalks.org/suttas/KN/Thig/thig6_6.html
Thig 6:7  Guttā,Thig 6:7  Guttā  —  A nun recalls the Buddha’s admonishment.,https://www.dhammatalks.org/suttas/KN/Thig/thig6_7.html
Thig 6:8  Vijayā,"Thig 6:8  Vijayā  —  After running amok, a nun learns the Dhamma and gains awakening.",https://www.dhammatalks.org/suttas/KN/Thig/thig6_8.html
Thig 7:2  Cālā,"Thig 7:2  Cālā  —  Māra confronts a nun who, approving of the Dhamma, approves of no one’s philosophy.",https://www.dhammatalks.org/suttas/KN/Thig/thig7_2.html
Thig 7:3  Upacālā,Thig 7:3  Upacālā  —  A nun confronted by Māra explains why she doesn’t approve of birth.,https://www.dhammatalks.org/suttas/KN/Thig/thig7_3.html
Thig 8  Sīsūpacālā,Thig 8  Sīsūpacālā  —  Māra tries to tempt a nun to enjoy the pleasures of heaven.,https://www.dhammatalks.org/suttas/KN/Thig/thig8.html
Thig 9  Vaḍḍha’s Mother,"Thig 9  Vaḍḍha’s Mother  —  A monk, roused by his mother, attains the highest peace.",https://www.dhammatalks.org/suttas/KN/Thig/thig9.html
Thig 10  Kīsā Gotamī,Thig 10  Kīsā Gotamī  —  A nun achieves the deathless after her entire family suddenly dies.,https://www.dhammatalks.org/suttas/KN/Thig/thig10.html
Thig 12  Puṇṇikā & the Brahman,"Thig 12  Puṇṇikā & the Brahman  —  Puṇṇikā, a slave woman, teaches the Dhamma to a brahman who is trying to wash his sins away.",https://www.dhammatalks.org/suttas/KN/Thig/thig12.html
Thig 13:1  Ambapālī,Thig 13:1  Ambapālī  —  A former courtesan surveys the ravages of time on her body.,https://www.dhammatalks.org/suttas/KN/Thig/thig13_1.html
Thig 13:2  Rohiṇī,"Thig 13:2  Rohiṇī  —  Rohiṇī convinces her father that, instead of being lazy, monks actually do the best work.",https://www.dhammatalks.org/suttas/KN/Thig/thig13_2.html
Thig 13:5  Subhā the Goldsmith’s Daughter,"Thig 13:5  Subhā the Goldsmith’s Daughter  —  When her relatives try to tempt her to marry, Subhā tells them of the dangers of sensuality, then ordains and gains awakening.",https://www.dhammatalks.org/suttas/KN/Thig/thig13_5.html
Thig 14  Subhā & the Libertine,Thig 14  Subhā & the Libertine  —  A nun going through the forest is accosted by a man who invites her to be his wife. She gives him a lesson that he will never forget.,https://www.dhammatalks.org/suttas/KN/Thig/thig14.html
