Field1,Field2_text,Field2_links,Field3
AN 3:2  Lakkhaṇa Sutta | Characterized (by Action),AN 3:2,https://www.dhammatalks.org/suttas/AN/AN3_2.html,"AN 3:2  Lakkhaṇa Sutta | Characterized (by Action)  —  Fools and wise people are to be recognized by their bodily, verbal, and mental conduct."
AN 3:5  Ayoniso Sutta | Inappropriately,AN 3:5,https://www.dhammatalks.org/suttas/AN/AN3_5.html,"AN 3:5  Ayoniso Sutta | Inappropriately  —  People can be recognized as foolish or wise by the way they formulate and answer questions, and by whether they acknowledge when a question has received an appropriate response."
AN 3:10  Mala Sutta | Impurities,AN 3:10,https://www.dhammatalks.org/suttas/AN/AN3_10.html,AN 3:10  Mala Sutta | Impurities  —  Qualities that can create a hell or a heaven in this very lifetime.
AN 3:15  Pacetana Sutta | The Chariot Maker,AN 3:15,https://www.dhammatalks.org/suttas/AN/AN3_15.html,"AN 3:15  Pacetana Sutta | The Chariot Maker  —  The Buddha, recounting one of his previous lives in which he was an expert chariot maker, uses the chariot maker’s skills as an analogy for his current skills as a trainer of monks and nuns."
AN 3:20  Pāpaṇika Sutta | The Shopkeeper,AN 3:20,https://www.dhammatalks.org/suttas/AN/AN3_20.html,AN 3:20  Pāpaṇika Sutta | The Shopkeeper  —  How a good monk is like a good shopkeeper.
AN 3:22  Gilāna Sutta | Sick People,AN 3:22,https://www.dhammatalks.org/suttas/AN/AN3_22.html,"AN 3:22  Gilāna Sutta | Sick People  —  Why the Buddha teaches even those who will gain awakening without his teaching, and those who won’t even when he teaches them."
AN 3:24  Bahukāra Sutta | Great Benefactors,AN 3:24,https://www.dhammatalks.org/suttas/AN/AN3_24.html,AN 3:24  Bahukāra Sutta | Great Benefactors  —  One’s three greatest benefactors.
AN 3:30  Avakujja Sutta | Upside Down,AN 3:30,https://www.dhammatalks.org/suttas/AN/AN3_30.html,"AN 3:30  Avakujja Sutta | Upside Down  —  Pay attention to a Dhamma talk, both during the talk and afterwards."
AN 3:32  Ānanda Sutta | To Ven. Ānanda,AN 3:32,https://www.dhammatalks.org/suttas/AN/AN3_32.html,AN 3:32  Ānanda Sutta | To Ven. Ānanda  —  The Buddha explains a passage from Sn 5:3 by describing a state of concentration free from I-making and mine-making.
AN 3:33  Sāriputta Sutta | To Ven. Sāriputta,AN 3:33,https://www.dhammatalks.org/suttas/AN/AN3_33.html,AN 3:33  Sāriputta Sutta | To Ven. Sāriputta  —  The Buddha explains a passage from Sn 5:13 by describing a state of concentration free from I-making and mine-making.
AN 3:34  Nidāna Sutta | Causes,AN 3:34,https://www.dhammatalks.org/suttas/AN/AN3_34.html,AN 3:34  Nidāna Sutta | Causes  —  An action (kamma) performed by an arahant bears no kammic fruit. This sutta explains why.
AN 3:35  Hatthaka Sutta | To Hatthaka,AN 3:35,https://www.dhammatalks.org/suttas/AN/AN3_35.html,"AN 3:35  Hatthaka Sutta | To Hatthaka  —  The state of the mind, rather than the comfort of the bed, determines who gets a good night’s sleep."
