Field1,Field2_text,Field2_links,Field3
AN 9:1  Sambodhi Sutta | Self-awakening,AN 9:1,https://www.dhammatalks.org/suttas/AN/AN9_1.html,AN 9:1  Sambodhi Sutta | Self-awakening  —  Nine prerequisites for developing the wings to self-awakening.
AN 9:7  Sutavā Sutta | To Sutavant,AN 9:7,https://www.dhammatalks.org/suttas/AN/AN9_7.html,AN 9:7  Sutavā Sutta | To Sutavant  —  Nine principles that an arahant cannot transgress.
AN 9:8  Sajjha Sutta | To Sajjha,AN 9:8,https://www.dhammatalks.org/suttas/AN/AN9_8.html,AN 9:8  Sajjha Sutta | To Sajjha  —  Another set of nine principles that an arahant cannot transgress.
AN 9:13  Koṭṭhita Sutta | With Koṭṭhita,AN 9:13,https://www.dhammatalks.org/suttas/AN/AN9_13.html,AN 9:13  Koṭṭhita Sutta | With Koṭṭhita  —  Ven. Mahā Koṭṭhita quizzes Ven. Sāriputta as to the purpose of the holy life lived under the Buddha.
AN 9:14  Samiddhi Sutta | About Samiddhi,AN 9:14,https://www.dhammatalks.org/suttas/AN/AN9_14.html,"AN 9:14  Samiddhi Sutta | About Samiddhi  —  Ven. Sāriputta quizzes a junior monk about thoughts and resolves: What is their basis? How do they go to multiplicity? What is their origination, meeting place, presiding state, governing principle, surpassing state, heartwood? Where to they gain a footing?"
AN 9:15  Gaṇḍa Sutta | A Boil,AN 9:15,https://www.dhammatalks.org/suttas/AN/AN9_15.html,AN 9:15  Gaṇḍa Sutta | A Boil  —  The body compared to an oozing boil.
AN 9:16  Saññā Sutta | Perceptions,AN 9:16,https://www.dhammatalks.org/suttas/AN/AN9_16.html,AN 9:16  Saññā Sutta | Perceptions  —  Nine perceptions that lead to the deathless.
AN 9:20  Velāma Sutta | About Velāma,AN 9:20,https://www.dhammatalks.org/suttas/AN/AN9_20.html,"AN 9:20  Velāma Sutta | About Velāma  —  The Buddha tells of a great offering he made in a previous lifetime, but then goes on to tell how goodwill and the perception of inconstancy are much more fruitful than the most fruitful gift possible."
AN 9:24  Sattā Sutta | Beings,AN 9:24,https://www.dhammatalks.org/suttas/AN/AN9_24.html,AN 9:24  Sattā Sutta | Beings  —  The different levels of the cosmos where beings may take rebirth.
AN 9:25  Paññā Sutta | Discernment,AN 9:25,https://www.dhammatalks.org/suttas/AN/AN9_25.html,AN 9:25  Paññā Sutta | Discernment  —  The qualities of an arahant’s mind.
AN 9:31  Anupubbanirodha Sutta | Step-by-step Cessation,AN 9:31,https://www.dhammatalks.org/suttas/AN/AN9_31.html,"AN 9:31  Anupubbanirodha Sutta | Step-by-step Cessation  —  What ceases, step by step, as one goes progressively through the nine concentration attainments."
AN 9:32  Vihāra Sutta | Dwellings (1),AN 9:32,https://www.dhammatalks.org/suttas/AN/AN9_32.html,AN 9:32  Vihāra Sutta | Dwellings (1)  —  The nine concentration attainments listed.
AN 9:33  Vihāra Sutta | Dwellings (2),AN 9:33,https://www.dhammatalks.org/suttas/AN/AN9_33.html,AN 9:33  Vihāra Sutta | Dwellings (2)  —  The nine concentration attainments defined.
AN 9:34  Nibbāna Sutta | Unbinding,AN 9:34,https://www.dhammatalks.org/suttas/AN/AN9_34.html,AN 9:34  Nibbāna Sutta | Unbinding  —  Ven. Sāriputta explains how unbinding is pleasant even though nothing is felt there.
AN 9:35  Gāvī Sutta | The Cow,AN 9:35,https://www.dhammatalks.org/suttas/AN/AN9_35.html,"AN 9:35  Gāvī Sutta | The Cow  —  Using the simile of the foolish, inexperienced cow, the Buddha shows why it is wise to establish oneself well in a concentration attainment before trying to move on to the next one. When these attainments are well mastered in this way, they lead to the six higher knowledges whenever there is an opening."
AN 9:36  Jhāna Sutta | Mental Absorption,AN 9:36,https://www.dhammatalks.org/suttas/AN/AN9_36.html,"AN 9:36  Jhāna Sutta | Mental Absorption  —  How awakening is attained by mastering any of the first seven of the nine concentration attainments and then reflecting on that attainment, analyzing it in terms of the five aggregates."
AN 9:37  Ānanda Sutta | With Ānanda,AN 9:37,https://www.dhammatalks.org/suttas/AN/AN9_37.html,"AN 9:37  Ānanda Sutta | With Ānanda  —  The levels of concentration—the first three formless attainments and the concentration that is the fruit of arahantship—in which one is not percipient of the five physical senses even though they are present, and yet one is nevertheless percipient."
AN 9:38  Brāhmaṇa Sutta | To Two Brahmans,AN 9:38,https://www.dhammatalks.org/suttas/AN/AN9_38.html,"AN 9:38  Brāhmaṇa Sutta | To Two Brahmans  —  The Buddha describes how a person in the first eight of the concentration attainments comes to the end of the cosmos, defined as the five strings of sensuality. Only by gaining discernment, though, does one cross over attachment to the cosmos."
AN 9:39  Deva Sutta | The Devas (About Jhāna),AN 9:39,https://www.dhammatalks.org/suttas/AN/AN9_39.html,"AN 9:39  Deva Sutta | The Devas (About Jhāna)  —  How—through the practice of concentration—to keep secluded from Māra, how to become invisible to Māra, and how to cross over attachment to the cosmos."
AN 9:40  Nāga Sutta | The Tusker,AN 9:40,https://www.dhammatalks.org/suttas/AN/AN9_40.html,"AN 9:40  Nāga Sutta | The Tusker  —  A humorous sutta in which a monk in the nine concentration attainments is compared to an elephant who, going off into seclusion from the bustle of the herd, scratches himself with a branch to allay his itch."
AN 9:41  Tapussa Sutta | To Tapussa (On Renunciation),AN 9:41,https://www.dhammatalks.org/suttas/AN/AN9_41.html,"AN 9:41  Tapussa Sutta | To Tapussa (On Renunciation)  —  How the Buddha, prior to his awakening, was able to overcome his reluctance to renounce sensuality and the pleasures of the lower concentration attainments."
AN 9:42  Pañcāla Sutta | Pañcāla’s Verse,AN 9:42,https://www.dhammatalks.org/suttas/AN/AN9_42.html,AN 9:42  Pañcāla Sutta | Pañcāla’s Verse  —  Ven. Ānanda explains a verse spoken by a deva on the topic of jhāna.
AN 9:43  Kāyasakkhī Sutta | Bodily Witness*,AN 9:43,https://www.dhammatalks.org/suttas/AN/AN9_43.html,AN 9:43  Kāyasakkhī Sutta | Bodily Witness*  —  Ven. Ānanda defines a “bodily witness” as one who remains “touching with his/her body” all nine concentration attainments and sees with discernment on emerging from the ninth.
AN 9:44  Paññāvimutti Sutta | Released through Discernment*,AN 9:44,https://www.dhammatalks.org/suttas/AN/AN9_44.html,AN 9:44  Paññāvimutti Sutta | Released through Discernment*  —  Ven. Ānanda defines a person “released through discernment” as one who gains release through developing discernment based on any of the nine concentration attainments.
AN 9:45  Ubhatobhāga Sutta | (Released) Both Ways*,AN 9:45,https://www.dhammatalks.org/suttas/AN/AN9_45.html,AN 9:45  Ubhatobhāga Sutta | (Released) Both Ways*  —  Ven. Ānanda defines a person “released both ways” as one who remains “touching with his/her body” and seeing with discernment any of the nine concentration attainments.
AN 9:62  Bhabba Sutta | Capable,AN 9:62,https://www.dhammatalks.org/suttas/AN/AN9_62.html,AN 9:62  Bhabba Sutta | Capable  —  Nine qualities that have to been abandoned for reaching arahantship.
AN 9:63  Sikkhā-dubbalya Sutta | Things That Weaken the Training,AN 9:63,https://www.dhammatalks.org/suttas/AN/AN9_63.html,"AN 9:63  Sikkhā-dubbalya Sutta | Things That Weaken the Training  —  To break the five precepts weakens the training. To abandon the actions that weaken the training, develop the four establishings of mindfulness."
AN 9:64  Nīvaraṇa Sutta | Hindrances,AN 9:64,https://www.dhammatalks.org/suttas/AN/AN9_64.html,"AN 9:64  Nīvaraṇa Sutta | Hindrances  —  To abandon the five hindrances, develop the four establishings of mindfulness."
