Field1,Field2_text,Field2_links,Field3
AN 10:6  Samādhi Sutta | Concentration,AN 10:6,https://www.dhammatalks.org/suttas/AN/AN10_6.html,"AN 10:6  Samādhi Sutta | Concentration  —  The Buddha—asked to describe an attainment of concentration in which one is not percipient of the physical properties, the formless attainments, this world or the next world, and yet one is still percipient—replies."
AN 10:7  Sāriputta Sutta | With Sāriputta,AN 10:7,https://www.dhammatalks.org/suttas/AN/AN10_7.html,AN 10:7  Sāriputta Sutta | With Sāriputta  —  Ven. Sāriputta gives a slightly different response to the question asked in the preceding sutta.
AN 10:13  Saṁyojana Sutta | Fetters,AN 10:13,https://www.dhammatalks.org/suttas/AN/AN10_13.html,AN 10:13  Saṁyojana Sutta | Fetters  —  The ten fetters listed.
AN 10:15  Appamāda Sutta | Heedfulness,AN 10:15,https://www.dhammatalks.org/suttas/AN/AN10_15.html,AN 10:15  Appamāda Sutta | Heedfulness  —  Ten similes making the point that heedfulness is the root of all skillful qualities and the foremost among them.
AN 10:17  Nātha Sutta | Protectors (1),AN 10:17,https://www.dhammatalks.org/suttas/AN/AN10_17.html,AN 10:17  Nātha Sutta | Protectors (1)  —  Ten qualities by which you create a protector for yourself.
AN 10:18  Nātha Sutta | Protectors (2),AN 10:18,https://www.dhammatalks.org/suttas/AN/AN10_18.html,AN 10:18  Nātha Sutta | Protectors (2)  —  You create protection for yourself by acting in ways that inspire others to offer you instruction.
AN 10:20  Ariyāvāsa Sutta | Dwellings of the Noble Ones,AN 10:20,https://www.dhammatalks.org/suttas/AN/AN10_20.html,AN 10:20  Ariyāvāsa Sutta | Dwellings of the Noble Ones  —  Ten noble dwellings for the mind.
AN 10:24  Cunda Sutta | Cunda,AN 10:24,https://www.dhammatalks.org/suttas/AN/AN10_24.html,"AN 10:24  Cunda Sutta | Cunda  —  Even if you can talk about the Dhamma, if you are overcome by greed. aversion, delusion, anger, hostility, hypocrisy, spite, selfishness, evil envy, or evil longing, you are still a pauper in the Dhamma."
AN 10:29  Kosala Sutta | The Kosalan,AN 10:29,https://www.dhammatalks.org/suttas/AN/AN10_29.html,"AN 10:29  Kosala Sutta | The Kosalan  —  Like supremacy in the human and deva worlds, exalted states of mind—even experiences of all-encompassing white light and non-dual consciousness—are all subject to change and aberration. In this sutta the Buddha offers a series of contemplations for inducing disenchantment and dispassion for even the most supreme things in the cosmos."
AN 10:46  Sakka Sutta | To the Sakyans (on the Uposatha),AN 10:46,https://www.dhammatalks.org/suttas/AN/AN10_46.html,AN 10:46  Sakka Sutta | To the Sakyans (on the Uposatha)  —  The Buddha explains to his relatives why the bliss that comes from earning a wage is next to nothing when compared to the bliss that comes from sacrificing one’s work on the uposatha day to observe the eight precepts.
AN 10:48  Dasa Dhamma Sutta | Ten Things,AN 10:48,https://www.dhammatalks.org/suttas/AN/AN10_48.html,AN 10:48  Dasa Dhamma Sutta | Ten Things  —  Ten things that a person gone-forth should reflect on often.
AN 10:51  Sacitta Sutta | One’s Own Mind,AN 10:51,https://www.dhammatalks.org/suttas/AN/AN10_51.html,"AN 10:51  Sacitta Sutta | One’s Own Mind  —  Even if you can’t read the minds of others, you should train yourself to read your own mind—and to respond properly to any defilements you read there."
AN 10:54  Samatha Sutta | Tranquility,AN 10:54,https://www.dhammatalks.org/suttas/AN/AN10_54.html,"AN 10:54  Samatha Sutta | Tranquility  —  The same message as the preceding sutta, but expressed in terms of the development of tranquility and insight."
AN 10:58  Mūla Sutta | Rooted,AN 10:58,https://www.dhammatalks.org/suttas/AN/AN10_58.html,AN 10:58  Mūla Sutta | Rooted  —  What is the root of all phenomena? Where do they gain a footing? What is their end?
AN 10:60  Girimānanda Sutta | To Girimānanda,AN 10:60,https://www.dhammatalks.org/suttas/AN/AN10_60.html,"AN 10:60  Girimānanda Sutta | To Girimānanda  —  The Buddha has Ven. Ānanda instruct Ven. Girimānanda—who is ill—on ten perceptions that heal body and mind. Interestingly, mindfulness of breathing is listed as one of the perceptions."
AN 10:61  Avijjā Sutta | Ignorance,AN 10:61,https://www.dhammatalks.org/suttas/AN/AN10_61.html,"AN 10:61  Avijjā Sutta | Ignorance  —  Even though no past beginning point for ignorance can be discerned, it is still possible to feed it—or to starve it—in the present."
AN 10:69  Kathāvatthu Sutta | Topics of Conversation (1),AN 10:69,https://www.dhammatalks.org/suttas/AN/AN10_69.html,"AN 10:69  Kathāvatthu Sutta | Topics of Conversation (1)  —  Encountering a group of monks who have been engaged in worldly conversation, the Buddha teaches them the topics that they should be talking about."
AN 10:70  Kathāvatthu Sutta | Topics of Conversation (2),AN 10:70,https://www.dhammatalks.org/suttas/AN/AN10_70.html,"AN 10:70  Kathāvatthu Sutta | Topics of Conversation (2)  —  Another lesson in right conversation. Not only should you talk about good qualities, but you should also develop them in yourself."
AN 10:71  Ākaṅkha Sutta | Wishes,AN 10:71,https://www.dhammatalks.org/suttas/AN/AN10_71.html,"AN 10:71  Ākaṅkha Sutta | Wishes  —  Ten reasons, of ascending worth, for perfecting the precepts and being committed to the development of tranquility (samatha) and insight (vipassanā)."
AN 10:72  Kaṇṭhaka Sutta | Thorns,AN 10:72,https://www.dhammatalks.org/suttas/AN/AN10_72.html,AN 10:72  Kaṇṭhaka Sutta | Thorns  —  Ten “thorns” that create difficulties for the practice.
AN 10:73  Iṭṭhā Sutta | Wished For,AN 10:73,https://www.dhammatalks.org/suttas/AN/AN10_73.html,AN 10:73  Iṭṭhā Sutta | Wished For  —  How to obtain what is welcome but hard to obtain in the world.
AN 10:75  Migāsālāya Sutta | About Migāsālā,AN 10:75,https://www.dhammatalks.org/suttas/AN/AN10_75.html,AN 10:75  Migāsālāya Sutta | About Migāsālā  —  Why you shouldn’t try to measure the attainments of other individuals. (The implicit message here: Pay more attention to your own attainment.)
AN 10:76  Abhabba Sutta | Incapable,AN 10:76,https://www.dhammatalks.org/suttas/AN/AN10_76.html,"AN 10:76  Abhabba Sutta | Incapable  —  Things that have to be abandoned in order to be free of birth, aging, and death."
AN 10:80  Āghāta Sutta | Hatred,AN 10:80,https://www.dhammatalks.org/suttas/AN/AN10_80.html,AN 10:80  Āghāta Sutta | Hatred  —  Ten ways of subduing hatred.
AN 10:81  Vāhuna Sutta | To Vāhuna,AN 10:81,https://www.dhammatalks.org/suttas/AN/AN10_81.html,"AN 10:81  Vāhuna Sutta | To Vāhuna  —  Released from ten things, the Tathāgata dwells with unrestricted awareness."
AN 10:92  Vera Sutta | Animosity,AN 10:92,https://www.dhammatalks.org/suttas/AN/AN10_92.html,AN 10:92  Vera Sutta | Animosity  —  Ten conditions for knowing if you are a streamwinner.
AN 10:93  Diṭṭhi Sutta | Views,AN 10:93,https://www.dhammatalks.org/suttas/AN/AN10_93.html,"AN 10:93  Diṭṭhi Sutta | Views  —  Anāthapiṇḍika explains to a group of sectarians why right view is a special form of view: Holding to other views, one is holding to stress, but using right view enables you to see the escape even from right view."
AN 10:94  Vajjiya Sutta | About Vajjiya,AN 10:94,https://www.dhammatalks.org/suttas/AN/AN10_94.html,"AN 10:94  Vajjiya Sutta | About Vajjiya  —  Confronted by sectarians who accuse the Buddha of being a nihilist, one who doesn’t declare anything, Vajjiya counters that the Buddha does declare two things: what’s skillful and what’s not."
AN 10:95  Uttiya Sutta | To Uttiya,AN 10:95,https://www.dhammatalks.org/suttas/AN/AN10_95.html,"AN 10:95  Uttiya Sutta | To Uttiya  —  After learning why the Buddha doesn’t take a stance on the ten declared questions, Uttiya asks him what percentage of the cosmos will be led by his teaching to release. The Buddha remains silent; Ven. Ānanda takes Uttiya aside and, using the simile of the wise gatekeeper, explains why."
AN 10:96  Kokanuda Sutta | To Kokanuda (On Viewpoints),AN 10:96,https://www.dhammatalks.org/suttas/AN/AN10_96.html,"AN 10:96  Kokanuda Sutta | To Kokanuda (On Viewpoints)  —  A wanderer, addressing Ven. Ānanda without knowing that it’s him, asks why the Buddha doesn’t take a stance on the ten undeclared questions."
AN 10:99  Upāli Sutta | To Upāli,AN 10:99,https://www.dhammatalks.org/suttas/AN/AN10_99.html,"AN 10:99  Upāli Sutta | To Upāli  —  Using the simile of the rabbit or cat that thinks it can imitate an elephant, the Buddha discourages Ven. Upāli from living in the forest, and encourages him instead to stay living with the Saṅgha."
AN 10:101  Samaṇasaññā Sutta | Contemplative Perceptions,AN 10:101,https://www.dhammatalks.org/suttas/AN/AN10_101.html,"AN 10:101  Samaṇasaññā Sutta | Contemplative Perceptions  —  Three perceptions that contemplatives should always hold in mind, and the seven rewards of doing so."
AN 10:103  Micchatta Sutta | Wrongness,AN 10:103,https://www.dhammatalks.org/suttas/AN/AN10_103.html,AN 10:103  Micchatta Sutta | Wrongness  —  How wrong view gives rise to other forms of wrongness.
AN 10:104  Bīja Sutta | The Seed,AN 10:104,https://www.dhammatalks.org/suttas/AN/AN10_104.html,"AN 10:104  Bīja Sutta | The Seed  —  Using the similes of the bitter seed and sweet seed, the Buddha explains how wrong view gives rise to other forms of wrongness, and right view to other forms of rightness."
AN 10:108  Tikicchā Sutta | A Purgative,AN 10:108,https://www.dhammatalks.org/suttas/AN/AN10_108.html,AN 10:108  Tikicchā Sutta | A Purgative  —  The right factors of the arahants tenfold path purge away the corresponding wrong factors.
AN 10:118  Orima Sutta | The Near Shore,AN 10:118,https://www.dhammatalks.org/suttas/AN/AN10_118.html,"AN 10:118  Orima Sutta | The Near Shore  —  In many discourses, the Buddha speaks of the near shore and the far shore. In this discourse he explains the near shore as the ten factors of the wrong path, and the far shore as the ten factors of the right. For another explanation of “near shore” and “far shore,” see SN 35:197 and Sn 5."
AN 10:165  Cunda Kammāraputta Sutta | To Cunda the Silversmith,AN 10:165,https://www.dhammatalks.org/suttas/AN/AN10_165.html,"AN 10:165  Cunda Kammāraputta Sutta | To Cunda the Silversmith  —  The Buddha explains to Cunda the silversmith—who later offered him his last meal—that purification is a matter, not of rites, but of following the ten courses of good conduct: three bodily, four verbal, and three mental."
AN 10:166  Jāṇussoṇin Sutta | To Jāṇussoṇin (On Offerings to the Dead),AN 10:166,https://www.dhammatalks.org/suttas/AN/AN10_166.html,"AN 10:166  Jāṇussoṇin Sutta | To Jāṇussoṇin (On Offerings to the Dead)  —  A brahman asks: When the merit of a gift is dedicated to the deceased, do they receive that merit? The Buddha explains that they do if they are hungry ghosts, but then goes on to state that—better than following the course of action leading to rebirth as a hungry ghost, and there waiting for dedications of merit—one should follow the course of action leading to rebirth in heaven, where one can enjoy the fruits of the gifts that one gave in this lifetime."
AN 10:196  Brahmavihāra Sutta | The Sublime Attitudes,AN 10:196,https://www.dhammatalks.org/suttas/AN/AN10_196.html,AN 10:196  Brahmavihāra Sutta | The Sublime Attitudes  —  The rewards of practicing the sublime abidings.
