Field1,Field2_links
"Iti 100  —  The Buddha as doctor; the monks as his heirs in Dhamma, not in material things.",https://www.dhammatalks.org/suttas/KN/Iti/iti100.html
Iti 101  —  The four basic requisites are easy to gain and blameless. To be content with them is a factor of the contemplative life.,https://www.dhammatalks.org/suttas/KN/Iti/iti101.html
"Iti 102  —  For one knowing and seeing the four noble truths, there is the ending of stress (dukkha).",https://www.dhammatalks.org/suttas/KN/Iti/iti102.html
Iti 103  —  To see the four noble truths is to count as a true contemplative.,https://www.dhammatalks.org/suttas/KN/Iti/iti103.html
Iti 104  —  The rewards of associating with those who genuinely count as admirable friends.,https://www.dhammatalks.org/suttas/KN/Iti/iti104.html
Iti 105  —  Where a monk’s craving takes birth.,https://www.dhammatalks.org/suttas/KN/Iti/iti105.html
Iti 106  —  Mother and father as the Brahmās and first teachers of their children.,https://www.dhammatalks.org/suttas/KN/Iti/iti106.html
Iti 107  —  The reciprocal ways in which monks and lay supporters benefit one another.,https://www.dhammatalks.org/suttas/KN/Iti/iti107.html
Iti 108  —  Monks who are and who are not the Buddha’s true followers.,https://www.dhammatalks.org/suttas/KN/Iti/iti108.html
Iti 109  —  An extended metaphor for the dangers of “going with the flow.”,https://www.dhammatalks.org/suttas/KN/Iti/iti109.html
Iti 110  —  What it means to have ardency and compunction.,https://www.dhammatalks.org/suttas/KN/Iti/iti110.html
"Iti 111  —  When one is consummate in virtue, what more is to be done?",https://www.dhammatalks.org/suttas/KN/Iti/iti111.html
Iti 112  —  The qualities that entitle the Buddha to be called Tathāgata.,https://www.dhammatalks.org/suttas/KN/Iti/iti112.html
